true,pred
-2.786244451999664307e-01,-2.451230436563491821e-01
-2.825055420398712158e-01,-2.046604454517364502e-01
-1.050086021423339844e-01,-1.107505708932876587e-01
1.023581624031066895e-01,1.674689203500747681e-01
-7.146177440881729126e-02,-2.192731052637100220e-01
-1.839459687471389771e-01,-1.578526496887207031e-01
1.751637309789657593e-01,2.230802029371261597e-01
1.429410129785537720e-01,1.401715129613876343e-01
2.331611812114715576e-01,2.879267930984497070e-01
2.058390825986862183e-01,3.149050772190093994e-01
-1.383469551801681519e-01,-2.250677794218063354e-01
2.419042736291885376e-01,2.903286218643188477e-01
2.626510262489318848e-01,2.682343721389770508e-01
-1.554035991430282593e-01,-2.047621309757232666e-01
-1.932066231966018677e-01,-1.284980177879333496e-01
-6.267527490854263306e-02,-1.901328712701797485e-01
-1.063659787178039551e-01,-2.198408842086791992e-01
-1.669090688228607178e-01,-1.778203248977661133e-01
1.974390298128128052e-01,2.647413909435272217e-01
-2.220329940319061279e-01,-1.857561618089675903e-01
1.852504014968872070e-01,1.877863258123397827e-01
-1.404467523097991943e-01,-1.284002959728240967e-01
-1.628218889236450195e-01,-2.536584734916687012e-01
-1.153332665562629700e-01,-1.803566366434097290e-01
-2.021167725324630737e-01,9.013229608535766602e-02
-1.319961994886398315e-01,-1.401938050985336304e-01
-1.920594722032546997e-01,-2.281498610973358154e-01
3.210853636264801025e-01,3.174341320991516113e-01
-3.807801008224487305e-01,-3.160639107227325439e-01
-7.640456408262252808e-02,-1.612631827592849731e-01
2.297516018152236938e-01,2.806725800037384033e-01
3.476984053850173950e-02,1.845525950193405151e-01
8.158165961503982544e-02,1.176946908235549927e-01
-3.420437127351760864e-02,-5.338906869292259216e-02
7.465862482786178589e-02,7.662439253181219101e-03
-2.373763918876647949e-01,-1.934941858053207397e-01
-4.450679197907447815e-02,-5.052031949162483215e-03
-1.508504897356033325e-01,-6.463138014078140259e-02
-5.634113773703575134e-02,9.423580020666122437e-02
1.704068668186664581e-02,-6.164336577057838440e-02
2.310827672481536865e-01,3.937436267733573914e-02
6.901514716446399689e-03,1.522999489679932594e-03
-1.812292337417602539e-01,-1.354518681764602661e-01
-2.100547961890697479e-02,5.260511860251426697e-02
-2.094552218914031982e-01,-5.454089865088462830e-02
-1.156449168920516968e-01,-7.772937417030334473e-02
-3.078880608081817627e-01,-1.769258379936218262e-01
-3.533002734184265137e-02,3.344384953379631042e-03
-2.128121703863143921e-01,1.153615340590476990e-01
1.880746483802795410e-01,1.166669428348541260e-01
2.435407601296901703e-02,1.351812034845352173e-01
4.801116138696670532e-02,1.324940621852874756e-01
2.768199443817138672e-01,8.429615944623947144e-02
-3.148571848869323730e-01,3.577264770865440369e-02
2.050436437129974365e-01,1.069986224174499512e-01
-6.932702660560607910e-02,-1.006404235959053040e-01
-4.215206205844879150e-02,7.670468091964721680e-02
-1.365267038345336914e-01,-1.283713579177856445e-01
3.192267194390296936e-02,1.331803482025861740e-02
4.946927726268768311e-02,6.508024875074625015e-03
1.136430799961090088e-01,4.073070734739303589e-02
-1.656524837017059326e-01,-1.414141207933425903e-01
1.323556005954742432e-01,8.876804262399673462e-02
-2.915623784065246582e-02,-2.145580388605594635e-02
1.593386679887771606e-01,6.252488493919372559e-02
-2.898472547531127930e-01,-1.743795871734619141e-01
4.107598960399627686e-02,3.974233940243721008e-02
-7.275377213954925537e-02,6.794682145118713379e-02
-2.717710733413696289e-01,-1.974996626377105713e-01
-1.368122696876525879e-01,-1.531644910573959351e-01
7.870125025510787964e-02,8.462287485599517822e-02
1.141244918107986450e-02,3.719245269894599915e-02
-2.414724528789520264e-01,-2.074783742427825928e-01
1.637976318597793579e-01,1.544479131698608398e-01
9.573825448751449585e-02,4.395978152751922607e-02
4.798229783773422241e-02,2.495959401130676270e-02
1.555150449275970459e-01,1.210009753704071045e-01
2.210908979177474976e-01,3.764314576983451843e-02
-5.092273349873721600e-04,-4.635214060544967651e-02
2.348784804344177246e-01,-5.729211121797561646e-02
-2.895358502864837646e-01,1.537840254604816437e-02
-1.604892611503601074e-01,-9.228004515171051025e-02
3.753818944096565247e-02,-1.599636115133762360e-02
3.309664130210876465e-01,2.481869310140609741e-01
2.393011748790740967e-02,5.580580979585647583e-02
1.526925712823867798e-01,1.233722865581512451e-01
-8.577657490968704224e-02,-7.705805450677871704e-02
-3.532954305410385132e-02,-6.342992931604385376e-02
-1.176218688488006592e-01,-8.729917556047439575e-02
1.153585780411958694e-02,4.180706664919853210e-02
-3.095240099355578423e-04,3.662477433681488037e-02
-2.430547587573528290e-02,-9.259399026632308960e-02
-1.184570565819740295e-01,-2.132758945226669312e-01
-1.779933869838714600e-01,1.235478091984987259e-02
-1.983251124620437622e-01,-1.491550952196121216e-01
8.017984032630920410e-02,5.538795515894889832e-02
5.729964375495910645e-02,-1.235863789916038513e-01
1.633795327506959438e-03,-1.095357388257980347e-01
1.472819000482559204e-01,1.235595196485519409e-01
-8.335745334625244141e-02,2.790939249098300934e-02
-4.126441478729248047e-02,-7.654471695423126221e-02
-8.634760230779647827e-02,1.939594186842441559e-02
3.693831712007522583e-02,5.758527666330337524e-02
1.419509351253509521e-01,1.274068504571914673e-01
1.126757636666297913e-01,-1.042814739048480988e-02
3.114981353282928467e-01,2.642250657081604004e-01
1.065508574247360229e-01,1.079725995659828186e-01
