true,pred
5.625000000000000000e-01,4.933924078941345215e-01
5.654296875000000000e-01,4.120363295078277588e-01
2.158203125000000000e-01,2.299962043762207031e-01
2.050781250000000000e-01,3.365890979766845703e-01
1.435546875000000000e-01,4.451289176940917969e-01
3.730468750000000000e-01,3.340477943420410156e-01
3.505859375000000000e-01,4.473750591278076172e-01
2.900390625000000000e-01,2.958536148071289062e-01
4.667968750000000000e-01,5.769281387329101562e-01
4.121093750000000000e-01,6.307556629180908203e-01
2.832031250000000000e-01,4.639320373535156250e-01
4.843750000000000000e-01,5.817747116088867188e-01
5.263671875000000000e-01,5.372002124786376953e-01
4.052734375000000000e-01,4.117381572723388672e-01
3.916015625000000000e-01,2.853307723999023438e-01
1.259765625000000000e-01,3.837082386016845703e-01
2.148437500000000000e-01,4.414701461791992188e-01
3.359375000000000000e-01,3.650054931640625000e-01
3.955078125000000000e-01,5.308167934417724609e-01
4.462890625000000000e-01,3.752737045288085938e-01
3.710937500000000000e-01,3.769373893737792969e-01
2.871093750000000000e-01,2.642431259155273438e-01
3.310546875000000000e-01,5.176601409912109375e-01
2.324218750000000000e-01,3.632712364196777344e-01
4.042968750000000000e-01,1.900448799133300781e-01
2.666015625000000000e-01,2.897439002990722656e-01
3.847656250000000000e-01,4.578094482421875000e-01
6.425781250000000000e-01,6.353716850280761719e-01
7.666015625000000000e-01,6.352642774581909180e-01
1.552734375000000000e-01,3.399286270141601562e-01
4.599609375000000000e-01,5.625817775726318359e-01
6.933593750000000000e-02,3.789958953857421875e-01
1.699218750000000000e-01,2.555403709411621094e-01
7.421875000000000000e-02,1.133832931518554688e-01
1.650390625000000000e-01,9.242963790893554688e-02
4.785156250000000000e-01,3.910324573516845703e-01
8.886718750000000000e-02,7.592356204986572266e-02
3.085937500000000000e-01,1.541891098022460938e-01
1.337890625000000000e-01,2.091746330261230469e-01
6.542968750000000000e-02,1.664419174194335938e-01
4.638671875000000000e-01,9.131050109863281250e-02
8.105468750000000000e-02,1.057636737823486328e-01
3.691406250000000000e-01,2.985763549804687500e-01
7.714843750000000000e-02,1.376774311065673828e-01
4.189453125000000000e-01,1.456966400146484375e-01
2.431640625000000000e-01,1.638651192188262939e-01
8.671875000000000000e-01,3.546650409698486328e-01
7.128906250000000000e-02,6.459519267082214355e-02
4.267578125000000000e-01,2.589540481567382812e-01
3.769531250000000000e-01,2.419682741165161133e-01
4.882812500000000000e-02,2.847356796264648438e-01
9.667968750000000000e-02,2.689113616943359375e-01
5.556640625000000000e-01,1.749048233032226562e-01
6.298828125000000000e-01,9.894943237304687500e-02
4.111328125000000000e-01,2.154841423034667969e-01
1.386718750000000000e-01,2.456769943237304688e-01
9.179687500000000000e-02,1.670403480529785156e-01
2.773437500000000000e-01,2.673749327659606934e-01
6.738281250000000000e-02,3.778243064880371094e-02
1.132812500000000000e-01,6.652092933654785156e-02
2.285156250000000000e-01,8.526897430419921875e-02
3.349609375000000000e-01,2.902650833129882812e-01
2.675781250000000000e-01,2.006268501281738281e-01
6.933593750000000000e-02,6.360101699829101562e-02
3.291015625000000000e-01,1.738014221191406250e-01
5.839843750000000000e-01,3.498008251190185547e-01
9.960937500000000000e-02,1.162300109863281250e-01
1.494140625000000000e-01,1.359682083129882812e-01
5.449218750000000000e-01,3.990670442581176758e-01
2.812500000000000000e-01,3.141179084777832031e-01
1.572265625000000000e-01,1.699646711349487305e-01
5.273437500000000000e-02,1.062722206115722656e-01
4.833984375000000000e-01,4.165129661560058594e-01
3.291015625000000000e-01,3.117835521697998047e-01
2.001953125000000000e-01,1.286954879760742188e-01
1.103515625000000000e-01,1.141657829284667969e-01
3.115234375000000000e-01,2.472801804542541504e-01
4.443359375000000000e-01,1.003351211547851562e-01
2.343750000000000000e-02,1.074104309082031250e-01
4.697265625000000000e-01,1.374282836914062500e-01
5.791015625000000000e-01,1.050128936767578125e-01
3.232421875000000000e-01,1.884281635284423828e-01
7.910156250000000000e-02,4.450774192810058594e-02
6.621093750000000000e-01,4.978997707366943359e-01
4.785156250000000000e-02,1.332956552505493164e-01
3.076171875000000000e-01,2.475881576538085938e-01
2.001953125000000000e-01,1.695599555969238281e-01
7.714843750000000000e-02,1.304063796997070312e-01
2.373046875000000000e-01,1.913433074951171875e-01
2.343750000000000000e-02,9.332180023193359375e-02
5.859375000000000000e-02,1.168537139892578125e-01
4.882812500000000000e-02,2.051792144775390625e-01
2.451171875000000000e-01,4.518871307373046875e-01
3.574218750000000000e-01,2.995389699935913086e-02
3.964843750000000000e-01,3.006949424743652344e-01
1.621093750000000000e-01,1.192440986633300781e-01
1.142578125000000000e-01,2.566356658935546875e-01
2.539062500000000000e-02,2.231783866882324219e-01
2.998046875000000000e-01,2.573035955429077148e-01
1.708984375000000000e-01,1.006588935852050781e-01
9.082031250000000000e-02,1.657776832580566406e-01
1.728515625000000000e-01,1.481113433837890625e-01
8.398437500000000000e-02,1.373443603515625000e-01
2.939453125000000000e-01,2.803726196289062500e-01
2.402343750000000000e-01,6.029021739959716797e-02
6.269531250000000000e-01,5.342819690704345703e-01
2.138671875000000000e-01,2.285146713256835938e-01
