true,pred
4.721191362477838993e-04,2.281818352639675140e-02
-3.301406104583293200e-05,9.160520508885383606e-03
4.443213038030080497e-05,1.493264734745025635e-02
-9.157154272543266416e-05,-5.629838444292545319e-03
2.691133413463830948e-04,3.483305126428604126e-02
4.858726606471464038e-05,5.107462406158447266e-03
5.719067848986014724e-05,7.713424041867256165e-03
2.284383517690002918e-04,-1.233783364295959473e-02
8.968362817540764809e-05,-2.434374298900365829e-03
-4.845603252761065960e-04,-1.648132503032684326e-02
1.258449163287878036e-03,1.130947936326265335e-02
4.518211353570222855e-04,-7.765416055917739868e-03
4.163019359111785889e-03,4.378949478268623352e-02
-9.923292323946952820e-03,-1.695234444923698902e-03
1.322588468610774726e-05,2.448670333251357079e-03
1.192862284369766712e-03,-1.850867271423339844e-02
2.169381827116012573e-03,-1.970019750297069550e-02
9.936261922121047974e-04,-1.426958572119474411e-02
-7.236875535454601049e-05,-1.740800798870623112e-03
-2.435947681078687310e-04,-1.770658977329730988e-02
-1.015902962535619736e-04,-4.028269555419683456e-03
1.420358603354543447e-05,-1.500279083847999573e-02
-4.031285934615880251e-04,1.673652976751327515e-02
-9.576829324942082167e-05,-1.612661057151854038e-03
-9.672749001765623689e-05,-5.451534409075975418e-03
-1.144194320659153163e-04,3.565422375686466694e-04
-2.059596590697765350e-05,-2.524027600884437561e-03
-5.819958169013261795e-04,7.004793733358383179e-03
-6.560235633514821529e-04,-4.551022313535213470e-03
-2.603170578368008137e-04,4.546526819467544556e-03
2.719673328101634979e-03,3.402845561504364014e-02
-2.566692186519503593e-03,-2.354150172322988510e-03
3.176331520080566406e-04,1.617166772484779358e-02
-2.039117272943258286e-03,-2.635612711310386658e-02
4.666458407882601023e-04,-2.577560255303978920e-03
6.635085446760058403e-04,4.044463392347097397e-03
-5.976750398986041546e-04,-2.781858481466770172e-02
1.370113459415733814e-03,3.543378086760640144e-03
-1.303996541537344456e-03,-3.396824747323989868e-02
8.846988785080611706e-04,2.402624674141407013e-02
-6.697718054056167603e-04,3.840282326564192772e-03
5.680614849552512169e-04,1.719615049660205841e-02
9.194792062044143677e-02,5.266349762678146362e-02
6.732576340436935425e-02,3.701532632112503052e-02
-1.716822385787963867e-01,-1.263194829225540161e-01
-9.008008241653442383e-02,-4.898272827267646790e-02
-9.085949510335922241e-02,-9.231708198785781860e-02
1.169060245156288147e-01,3.171238675713539124e-02
