true,pred
2.373158372938632965e-02,3.461597859859466553e-02
-8.743332326412200928e-02,-7.386447489261627197e-02
-9.199742972850799561e-02,-9.514322131872177124e-02
2.102784961462020874e-01,1.717717945575714111e-01
-1.589515479281544685e-03,8.940576575696468353e-03
8.757801353931427002e-02,7.318618893623352051e-02
-8.632607758045196533e-02,-1.022267565131187439e-01
-6.928261369466781616e-02,-5.908366665244102478e-02
6.114211678504943848e-02,3.164461255073547363e-02
7.303141802549362183e-02,4.953134059906005859e-02
-7.154187560081481934e-02,-1.622621901333332062e-02
5.998244881629943848e-02,7.017891108989715576e-02
5.204050615429878235e-02,7.037243247032165527e-02
-5.505887418985366821e-02,-2.148968540132045746e-02
-6.172323599457740784e-02,-4.484918713569641113e-02
-3.533660992980003357e-02,-1.355666201561689377e-02
-8.435773849487304688e-02,-5.206161737442016602e-02
-1.284045875072479248e-01,-1.111230477690696716e-01
9.369908273220062256e-02,5.789598077535629272e-02
6.406337767839431763e-02,7.491836696863174438e-02
4.461568780243396759e-03,-2.581100910902023315e-02
-6.175163388252258301e-02,2.381460741162300110e-03
1.868451982736587524e-01,1.369337588548660278e-01
-8.349075913429260254e-03,-7.720119319856166840e-03
-1.237053144723176956e-02,-8.867856115102767944e-03
2.876169793307781219e-02,-4.042791202664375305e-02
-7.722424343228340149e-03,1.818567328155040741e-02
-6.696526706218719482e-02,-3.897047415375709534e-02
3.419648855924606323e-02,3.614331036806106567e-02
2.476253174245357513e-02,3.600245714187622070e-02
3.766914084553718567e-02,4.013738408684730530e-02
-1.369523555040359497e-01,-5.225462466478347778e-02
-5.119639635086059570e-02,-4.634895920753479004e-02
-3.338271751999855042e-02,-3.005430288612842560e-02
-7.213640213012695312e-02,-8.255901187658309937e-02
1.013961434364318848e-01,1.345655322074890137e-01
-9.914433956146240234e-02,-6.248433887958526611e-02
3.547446429729461670e-02,5.226935073733329773e-02
7.989574968814849854e-02,7.140469551086425781e-02
-7.904680073261260986e-02,-5.589324235916137695e-02
4.774259869009256363e-03,-8.988601155579090118e-03
3.816001489758491516e-02,6.422919034957885742e-02
-9.602272883057594299e-03,-1.152766868472099304e-02
-2.227495051920413971e-02,-2.403844706714153290e-02
-4.471956193447113037e-02,-9.626022540032863617e-03
5.821654945611953735e-02,5.296473205089569092e-02
-3.108670003712177277e-02,-3.013377822935581207e-02
1.384440809488296509e-01,1.165050566196441650e-01
-6.722685694694519043e-02,-9.297631680965423584e-03
-5.508839152753353119e-03,-2.178632281720638275e-02
-3.595213219523429871e-02,-2.337643131613731384e-02
2.404198795557022095e-02,1.137449685484170914e-02
3.289696946740150452e-02,4.838341381400823593e-03
7.279575616121292114e-02,7.442154735326766968e-02
7.926460355520248413e-02,4.437388479709625244e-02
-5.439290404319763184e-02,-2.141211181879043579e-02
-2.485330216586589813e-02,-2.882350608706474304e-02
-4.879157245159149170e-02,-3.929921984672546387e-02
6.781650334596633911e-02,6.155081465840339661e-02
-1.608948782086372375e-02,-5.004691774956882000e-04
-4.035887867212295532e-02,-3.600131347775459290e-02
1.515809539705514908e-02,5.362734198570251465e-02
-3.038348443806171417e-02,-2.019325084984302521e-02
-2.610126696527004242e-02,3.909939527511596680e-02
3.372699394822120667e-02,3.309244662523269653e-02
5.846159160137176514e-02,4.495091363787651062e-02
1.998777501285076141e-02,-1.696562021970748901e-02
3.759784251451492310e-02,1.901458390057086945e-02
3.544556349515914917e-02,4.947335645556449890e-02
-2.377270022407174110e-03,5.850202403962612152e-03
-1.317858099937438965e-01,-1.109384596347808838e-01
-3.327927738428115845e-02,3.935454413294792175e-03
-1.319873481988906860e-01,-1.599957942962646484e-01
-7.444126904010772705e-02,-4.604252800345420837e-02
4.504849761724472046e-02,5.459862947463989258e-02
1.609221659600734711e-02,1.965737901628017426e-03
5.988983064889907837e-02,6.191413849592208862e-02
-1.749596893787384033e-01,-1.473752856254577637e-01
9.825222194194793701e-02,1.142176613211631775e-01
5.526687577366828918e-02,2.598780021071434021e-02
-2.854942716658115387e-02,-5.303842946887016296e-02
8.633758872747421265e-02,8.731990307569503784e-02
-7.135105133056640625e-02,-1.288218982517719269e-02
-6.004567444324493408e-02,-8.355774730443954468e-02
-1.440507769584655762e-01,-1.363529562950134277e-01
-1.697213016450405121e-02,-1.214588060975074768e-02
-1.911358162760734558e-02,-1.288173370994627476e-04
1.515016146004199982e-02,3.205334022641181946e-02
-1.056091953068971634e-02,-1.130024250596761703e-02
-2.153712697327136993e-02,-8.341676555573940277e-03
3.928643092513084412e-02,7.388093322515487671e-02
2.991884946823120117e-03,3.916320856660604477e-03
-1.004105657339096069e-01,-9.986528754234313965e-02
-8.247313648462295532e-02,-1.473316699266433716e-01
-2.209773473441600800e-02,-1.524347718805074692e-02
-1.075480692088603973e-02,-1.056798826903104782e-02
-4.656508564949035645e-02,-2.537962608039379120e-02
-1.185608953237533569e-01,-8.351771533489227295e-02
-3.525307402014732361e-02,-8.023715764284133911e-02
6.872076541185379028e-02,2.703324146568775177e-02
3.307648003101348877e-02,1.731405779719352722e-02
8.890131860971450806e-02,4.756385460495948792e-02
2.160942368209362030e-02,2.868614718317985535e-02
2.631295099854469299e-02,3.466156870126724243e-02
-2.366039901971817017e-02,-1.408029440790414810e-02
6.305000185966491699e-02,9.804993867874145508e-03
-5.694160237908363342e-02,-1.436654105782508850e-02
-8.602555096149444580e-02,-9.377471357583999634e-02
3.691197186708450317e-02,9.276216849684715271e-03
8.725152164697647095e-02,9.185550361871719360e-02
3.307095495983958244e-03,1.567014865577220917e-02
-4.488630220293998718e-02,-5.436861887574195862e-02
2.575138397514820099e-02,1.638633571565151215e-02
2.932563610374927521e-02,1.332857739180326462e-02
-2.528371661901473999e-02,-3.911720961332321167e-02
-3.785960376262664795e-02,2.003093063831329346e-02
3.290498629212379456e-02,3.711193799972534180e-02
-1.091724857687950134e-01,-4.889881238341331482e-02
-5.516131967306137085e-02,-4.595877230167388916e-02
1.066704094409942627e-02,8.360075298696756363e-04
-6.279047578573226929e-02,-5.311359465122222900e-02
2.571373246610164642e-02,1.890543289482593536e-02
-7.772618532180786133e-02,-5.777354910969734192e-02
-9.068015962839126587e-02,-8.819144219160079956e-02
-1.131436079740524292e-01,-9.960030764341354370e-02
-2.967735007405281067e-02,-4.779343493282794952e-03
-3.022175282239913940e-02,-3.753498569130897522e-02
-4.173899069428443909e-02,-2.639554068446159363e-02
-4.045083653181791306e-03,-1.625242456793785095e-02
-1.595461666584014893e-01,-8.249793201684951782e-02
-3.923523798584938049e-02,-3.620342537760734558e-02
-3.857095167040824890e-02,-5.152518674731254578e-02
6.156372651457786560e-02,7.496793568134307861e-02
2.759775333106517792e-02,5.274391919374465942e-02
1.067800298333168030e-01,7.420461624860763550e-02
-1.375890802592039108e-02,2.623534994199872017e-03
-5.065615754574537277e-03,4.272538702934980392e-03
8.837105706334114075e-04,3.959408402442932129e-02
-4.095185548067092896e-02,-4.756246134638786316e-02
2.748499996960163116e-02,6.428053230047225952e-02
1.761763170361518860e-02,5.379845574498176575e-02
-1.557830814272165298e-02,-1.692948117852210999e-02
-8.979602903127670288e-02,-6.969223171472549438e-02
1.048840656876564026e-01,9.178864955902099609e-02
-1.435298174619674683e-01,-9.063479304313659668e-02
-1.783419102430343628e-01,-1.692943125963211060e-01
1.105979830026626587e-01,4.314067959785461426e-02
-4.841704294085502625e-02,-5.221329256892204285e-02
3.478314355015754700e-02,1.198305282741785049e-02
-4.697974026203155518e-02,-7.659836858510971069e-02
-3.340502828359603882e-02,-3.188856178894639015e-03
2.781217359006404877e-02,-9.039172902703285217e-03
9.273129515349864960e-03,1.192930154502391815e-02
-7.943616807460784912e-02,-5.347703397274017334e-02
-8.201004937291145325e-03,1.474708877503871918e-02
2.790833637118339539e-02,4.879538714885711670e-02
6.303581595420837402e-02,5.984093621373176575e-02
-4.444803670048713684e-02,-5.088529363274574280e-02
-4.515234380960464478e-02,-5.635174363851547241e-02
-3.505539894104003906e-02,-4.770828410983085632e-02
9.252994507551193237e-02,1.084633693099021912e-01
2.935772575438022614e-02,4.019293561577796936e-02
2.698583900928497314e-02,3.567994385957717896e-02
1.072552949190139771e-01,1.106501966714859009e-01
-1.357730850577354431e-02,1.514509669505059719e-03
9.518810361623764038e-02,7.336515933275222778e-02
6.396009027957916260e-02,6.289856880903244019e-02
-7.927167229354381561e-03,-4.433820024132728577e-03
1.000114083290100098e-01,6.990916281938552856e-02
-9.164283424615859985e-02,-7.063169032335281372e-02
-1.416920423507690430e-01,-9.001435339450836182e-02
3.055339120328426361e-02,1.207370404154062271e-02
1.213590800762176514e-02,7.246412336826324463e-03
2.258079312741756439e-02,5.286385491490364075e-02
7.097914069890975952e-02,6.500044465065002441e-02
1.596396118402481079e-01,1.646264791488647461e-01
-1.090074889361858368e-02,2.868153527379035950e-02
-3.250641375780105591e-02,2.989877387881278992e-02
7.606734335422515869e-02,8.338655531406402588e-02
5.286412779241800308e-03,-4.088246077299118042e-02
-1.570441387593746185e-02,-6.611017975956201553e-03
-9.128076583147048950e-02,-9.006994962692260742e-02
-1.329590333625674248e-03,2.328357473015785217e-02
-1.477313637733459473e-01,-8.443919569253921509e-02
7.700341194868087769e-02,6.867128610610961914e-02
-7.422466576099395752e-02,-5.887634120881557465e-03
-7.894344627857208252e-02,-2.698985487222671509e-02
-6.477811187505722046e-02,-6.361269950866699219e-02
-8.996554464101791382e-02,-6.857400760054588318e-03
-3.893211018294095993e-03,3.165059490129351616e-03
7.002468407154083252e-02,6.759019941091537476e-02
-7.552093267440795898e-02,-6.467324495315551758e-02
1.429852936416864395e-02,1.088517904281616211e-02
1.242808252573013306e-01,1.042516678571701050e-01
4.743568599224090576e-02,5.658965930342674255e-02
-1.285899877548217773e-01,-8.274796605110168457e-02
3.977655619382858276e-02,1.817102357745170593e-02
6.756198406219482422e-02,7.356405258178710938e-02
7.456569373607635498e-02,5.163605883717536926e-02
1.297213286161422729e-01,9.827791899442672729e-02
-8.364386856555938721e-02,-3.336695954203605652e-02
-5.306705832481384277e-02,-2.845225855708122253e-02
-3.951605781912803650e-02,4.744066391140222549e-03
-4.265198856592178345e-02,-2.505392022430896759e-02
-3.717588633298873901e-02,-2.001344412565231323e-02
-2.129126572981476784e-03,-5.978943780064582825e-03
-5.256137996912002563e-02,-4.543113335967063904e-02
-5.341659113764762878e-02,-8.153683505952358246e-03
-1.585506647825241089e-02,-1.629672385752201080e-02
-1.164009273052215576e-01,-1.109623312950134277e-01
-7.973498851060867310e-02,-7.790139317512512207e-02
-7.773535698652267456e-02,-7.135167717933654785e-02
-1.039648354053497314e-01,-8.819752931594848633e-02
-2.199410088360309601e-02,-1.591582223773002625e-02
7.028771191835403442e-02,7.388924807310104370e-02
4.628872033208608627e-03,-9.420822374522686005e-03
-3.913202881813049316e-02,-6.590728461742401123e-02
9.028314054012298584e-02,8.018399775028228760e-02
-2.144325338304042816e-02,1.740572974085807800e-02
7.173500210046768188e-02,6.486179679632186890e-02
-6.385726481676101685e-02,-3.502549231052398682e-02
2.117639221251010895e-02,2.208161726593971252e-02
-9.398373216390609741e-02,-4.921612888574600220e-02
-3.098631836473941803e-02,-2.989281900227069855e-02
2.132746949791908264e-02,1.219907496124505997e-02
-2.656034752726554871e-02,-1.626101508736610413e-02
1.050194650888442993e-01,5.488909780979156494e-02
-9.604898840188980103e-02,-6.570520251989364624e-02
-5.217686668038368225e-02,-2.242868766188621521e-02
6.878211349248886108e-02,3.407267853617668152e-02
9.332635998725891113e-02,4.161233082413673401e-02
3.207944799214601517e-03,-6.784768193028867245e-04
-3.973247483372688293e-02,9.556761360727250576e-04
2.096452564001083374e-02,3.973286226391792297e-02
2.887377515435218811e-02,3.942722827196121216e-02
3.087102435529232025e-02,3.287490457296371460e-02
-1.020996570587158203e-01,-1.421981751918792725e-01
-9.723184630274772644e-03,5.386733915656805038e-03
5.461725592613220215e-02,3.935824334621429443e-02
-5.605736002326011658e-02,-5.557526648044586182e-02
-8.305370062589645386e-02,-4.872561991214752197e-02
2.060411311686038971e-02,4.423804581165313721e-02
-3.455163910984992981e-02,-1.047300361096858978e-02
2.016999572515487671e-02,-3.953006863594055176e-02
3.542536497116088867e-02,3.201406076550483704e-02
-9.753700345754623413e-02,-1.111242771148681641e-01
-2.208933793008327484e-02,-2.000511996448040009e-02
1.863547787070274353e-02,-1.527297683060169220e-02
-4.924594238400459290e-02,-3.724630549550056458e-02
-1.498540677130222321e-02,-1.795348152518272400e-02
1.160802319645881653e-01,1.097299158573150635e-01
-4.616462439298629761e-02,-5.168971791863441467e-02
-5.233336612582206726e-02,-2.057088352739810944e-02
5.658934824168682098e-04,1.723841018974781036e-02
1.193683892488479614e-01,1.139512881636619568e-01
-7.063400000333786011e-02,-8.625125139951705933e-02
2.986948378384113312e-02,2.323917485773563385e-02
-1.247327215969562531e-02,-2.636105054989457130e-03
-8.402679860591888428e-02,-6.523017585277557373e-02
-7.956110686063766479e-02,-4.122228175401687622e-02
-2.756014093756675720e-02,-3.202341124415397644e-02
1.180445775389671326e-02,6.772502325475215912e-03
1.943389177322387695e-01,1.665993630886077881e-01
7.184992730617523193e-02,2.396788075566291809e-02
1.054976955056190491e-01,1.074986830353736877e-01
-5.789096280932426453e-02,-6.907295435667037964e-02
-4.341371729969978333e-02,-8.950505405664443970e-02
-4.237230122089385986e-02,-6.136951223015785217e-02
1.410497818142175674e-03,2.071011695079505444e-04
1.043463349342346191e-01,8.773453533649444580e-02
-7.430753111839294434e-02,-2.345124259591102600e-02
1.241701990365982056e-01,1.264730840921401978e-01
3.963933512568473816e-02,3.203935176134109497e-02
3.163394704461097717e-02,3.763600066304206848e-02
-9.304258972406387329e-02,-1.076988950371742249e-01
-5.030187778174877167e-03,1.770801097154617310e-02
-1.096337884664535522e-01,-9.938347339630126953e-02
1.268089562654495239e-01,1.031429246068000793e-01
1.775060407817363739e-02,8.805905468761920929e-03
-8.130033314228057861e-02,-5.034368112683296204e-02
