true,pred
2.727539062500000000e+00,2.744361639022827148e+00
2.492187500000000000e+00,2.532404899597167969e+00
2.640625000000000000e+00,2.626307487487792969e+00
2.468750000000000000e+00,2.498588085174560547e+00
2.666015625000000000e+00,2.677693605422973633e+00
2.551757812500000000e+00,2.574726104736328125e+00
2.646484375000000000e+00,2.618129730224609375e+00
2.613281250000000000e+00,2.645492315292358398e+00
2.683593750000000000e+00,2.694633007049560547e+00
2.623046875000000000e+00,2.666506767272949219e+00
2.569335937500000000e+00,2.600993633270263672e+00
2.718750000000000000e+00,2.733129739761352539e+00
2.577148437500000000e+00,2.584747552871704102e+00
2.644531250000000000e+00,2.684680461883544922e+00
2.696289062500000000e+00,2.674621343612670898e+00
2.716796875000000000e+00,2.737346649169921875e+00
2.659179687500000000e+00,2.634630680084228516e+00
2.480468750000000000e+00,2.489794254302978516e+00
2.625976562500000000e+00,2.637459993362426758e+00
2.550781250000000000e+00,2.558488130569458008e+00
2.681640625000000000e+00,2.642307281494140625e+00
2.589843750000000000e+00,2.671213626861572266e+00
2.610351562500000000e+00,2.649836063385009766e+00
2.740234375000000000e+00,2.724512577056884766e+00
2.633789062500000000e+00,2.625909328460693359e+00
2.686523437500000000e+00,2.675920963287353516e+00
2.704101562500000000e+00,2.706041336059570312e+00
2.656250000000000000e+00,2.686838626861572266e+00
2.560546875000000000e+00,2.552265167236328125e+00
2.681640625000000000e+00,2.667257547378540039e+00
2.619140625000000000e+00,2.638630390167236328e+00
2.410156250000000000e+00,2.508811950683593750e+00
2.657226562500000000e+00,2.684356689453125000e+00
2.689453125000000000e+00,2.674533843994140625e+00
2.599609375000000000e+00,2.559823036193847656e+00
2.497070312500000000e+00,2.498911380767822266e+00
2.516601562500000000e+00,2.550036668777465820e+00
2.647460937500000000e+00,2.600336551666259766e+00
2.522460937500000000e+00,2.569118022918701172e+00
2.545898437500000000e+00,2.551182746887207031e+00
2.638671875000000000e+00,2.620394229888916016e+00
2.622070312500000000e+00,2.601159334182739258e+00
2.653320312500000000e+00,2.614994525909423828e+00
2.663085937500000000e+00,2.710746526718139648e+00
2.605468750000000000e+00,2.607803821563720703e+00
2.548828125000000000e+00,2.533208847045898438e+00
2.716796875000000000e+00,2.728124380111694336e+00
2.611328125000000000e+00,2.658784866333007812e+00
2.724609375000000000e+00,2.729176044464111328e+00
2.688476562500000000e+00,2.709694862365722656e+00
2.713867187500000000e+00,2.680533409118652344e+00
2.673828125000000000e+00,2.630099773406982422e+00
2.652343750000000000e+00,2.674893856048583984e+00
2.658203125000000000e+00,2.616412878036499023e+00
2.593750000000000000e+00,2.599900722503662109e+00
2.493164062500000000e+00,2.532951354980468750e+00
2.662109375000000000e+00,2.646451950073242188e+00
2.710937500000000000e+00,2.708868980407714844e+00
2.554687500000000000e+00,2.551225662231445312e+00
2.581054687500000000e+00,2.594449043273925781e+00
2.679687500000000000e+00,2.707612037658691406e+00
2.706054687500000000e+00,2.642405748367309570e+00
2.719726562500000000e+00,2.722425937652587891e+00
2.704101562500000000e+00,2.725297451019287109e+00
2.632812500000000000e+00,2.625856876373291016e+00
2.593750000000000000e+00,2.558706045150756836e+00
2.621093750000000000e+00,2.610490798950195312e+00
2.625976562500000000e+00,2.621639728546142578e+00
2.673828125000000000e+00,2.622661590576171875e+00
2.522460937500000000e+00,2.491644382476806641e+00
2.589843750000000000e+00,2.572306871414184570e+00
2.535156250000000000e+00,2.560409069061279297e+00
2.446289062500000000e+00,2.453290939331054688e+00
2.676757812500000000e+00,2.717317819595336914e+00
2.528320312500000000e+00,2.497607946395874023e+00
2.566406250000000000e+00,2.572784900665283203e+00
2.619140625000000000e+00,2.625917673110961914e+00
2.534179687500000000e+00,2.514321804046630859e+00
2.603515625000000000e+00,2.595592021942138672e+00
2.554687500000000000e+00,2.595001459121704102e+00
2.669921875000000000e+00,2.592558622360229492e+00
2.580078125000000000e+00,2.520099639892578125e+00
2.601562500000000000e+00,2.662656307220458984e+00
2.540039062500000000e+00,2.512747764587402344e+00
2.462890625000000000e+00,2.442510128021240234e+00
2.648437500000000000e+00,2.636959552764892578e+00
2.707031250000000000e+00,2.686327695846557617e+00
2.669921875000000000e+00,2.661117553710937500e+00
2.686523437500000000e+00,2.658468246459960938e+00
2.685546875000000000e+00,2.667454481124877930e+00
2.737304687500000000e+00,2.699066162109375000e+00
2.604492187500000000e+00,2.564410448074340820e+00
2.526367187500000000e+00,2.526375770568847656e+00
2.679687500000000000e+00,2.612183094024658203e+00
2.686523437500000000e+00,2.674322843551635742e+00
2.678710937500000000e+00,2.661431312561035156e+00
2.496093750000000000e+00,2.563190937042236328e+00
2.680664062500000000e+00,2.669672489166259766e+00
2.591796875000000000e+00,2.558156013488769531e+00
2.627929687500000000e+00,2.665333032608032227e+00
2.642578125000000000e+00,2.684296369552612305e+00
2.716796875000000000e+00,2.704226493835449219e+00
2.593750000000000000e+00,2.622771739959716797e+00
2.654296875000000000e+00,2.643541336059570312e+00
2.750976562500000000e+00,2.758368015289306641e+00
2.506835937500000000e+00,2.500592947006225586e+00
2.601562500000000000e+00,2.633200168609619141e+00
2.424804687500000000e+00,2.399905204772949219e+00
2.734375000000000000e+00,2.792760848999023438e+00
2.585937500000000000e+00,2.570483207702636719e+00
2.590820312500000000e+00,2.593761920928955078e+00
2.687500000000000000e+00,2.670164108276367188e+00
2.686523437500000000e+00,2.673521280288696289e+00
2.702148437500000000e+00,2.719707489013671875e+00
2.656250000000000000e+00,2.625152587890625000e+00
2.789062500000000000e+00,2.804862499237060547e+00
2.785156250000000000e+00,2.751219987869262695e+00
2.712890625000000000e+00,2.706955671310424805e+00
2.638671875000000000e+00,2.665882349014282227e+00
2.620117187500000000e+00,2.584864139556884766e+00
2.717773437500000000e+00,2.722696781158447266e+00
2.584960937500000000e+00,2.590685844421386719e+00
2.707031250000000000e+00,2.714251518249511719e+00
2.454101562500000000e+00,2.471346616744995117e+00
2.564453125000000000e+00,2.589393615722656250e+00
2.649414062500000000e+00,2.656873941421508789e+00
2.626953125000000000e+00,2.603317022323608398e+00
2.689453125000000000e+00,2.641375064849853516e+00
2.825195312500000000e+00,2.781419277191162109e+00
2.513671875000000000e+00,2.572126388549804688e+00
2.680664062500000000e+00,2.650315284729003906e+00
2.641601562500000000e+00,2.616780996322631836e+00
2.665039062500000000e+00,2.618088245391845703e+00
2.564453125000000000e+00,2.537646770477294922e+00
2.467773437500000000e+00,2.460224390029907227e+00
2.572265625000000000e+00,2.582626104354858398e+00
2.727539062500000000e+00,2.768912076950073242e+00
2.758789062500000000e+00,2.728770494461059570e+00
2.658203125000000000e+00,2.614709854125976562e+00
2.713867187500000000e+00,2.671854496002197266e+00
2.638671875000000000e+00,2.612613677978515625e+00
2.681640625000000000e+00,2.708443164825439453e+00
2.603515625000000000e+00,2.653475522994995117e+00
2.691406250000000000e+00,2.731665372848510742e+00
2.521484375000000000e+00,2.527651071548461914e+00
2.520507812500000000e+00,2.515617609024047852e+00
2.730468750000000000e+00,2.777913093566894531e+00
2.712890625000000000e+00,2.684161424636840820e+00
2.614257812500000000e+00,2.603739500045776367e+00
2.619140625000000000e+00,2.613256931304931641e+00
2.722656250000000000e+00,2.760027408599853516e+00
2.692382812500000000e+00,2.711978912353515625e+00
2.912109375000000000e+00,2.833980560302734375e+00
2.678710937500000000e+00,2.722304821014404297e+00
2.795898437500000000e+00,2.783341169357299805e+00
2.644531250000000000e+00,2.607049703598022461e+00
2.716796875000000000e+00,2.710037231445312500e+00
2.573242187500000000e+00,2.573540449142456055e+00
2.674804687500000000e+00,2.673828363418579102e+00
2.730468750000000000e+00,2.709407567977905273e+00
2.603515625000000000e+00,2.553814411163330078e+00
2.776367187500000000e+00,2.771239280700683594e+00
2.585937500000000000e+00,2.586498022079467773e+00
2.618164062500000000e+00,2.627698659896850586e+00
2.697265625000000000e+00,2.704535007476806641e+00
2.641601562500000000e+00,2.646512985229492188e+00
2.761718750000000000e+00,2.769017219543457031e+00
2.746093750000000000e+00,2.726998567581176758e+00
2.545898437500000000e+00,2.587002277374267578e+00
2.588867187500000000e+00,2.583677768707275391e+00
2.620117187500000000e+00,2.665220975875854492e+00
2.662109375000000000e+00,2.680583477020263672e+00
2.650390625000000000e+00,2.593531608581542969e+00
2.602539062500000000e+00,2.556104898452758789e+00
2.640625000000000000e+00,2.618080377578735352e+00
