time_fs,S2
0.000000000000000000e+00,1.000000002700320856e+00
4.837759999999999838e-01,9.803927063795339070e-01
9.675519999999999676e-01,9.361753694327641373e-01
1.451327999999999951e+00,8.615419068850627138e-01
1.935103999999999935e+00,7.140473508614357812e-01
2.418880000000000141e+00,5.901393990291178282e-01
2.902655999999999903e+00,4.788869223891690785e-01
3.386432000000000109e+00,3.702124014798982010e-01
3.870207999999999871e+00,3.091982954538079476e-01
4.353983999999999632e+00,2.593217455845289177e-01
4.837760000000000282e+00,2.219824788536361448e-01
5.321536000000000044e+00,2.053137845448357035e-01
5.805311999999999806e+00,1.949458321459786592e-01
6.289087999999999568e+00,1.858409235611988564e-01
6.772864000000000217e+00,1.808415475042750020e-01
7.256639999999999979e+00,1.777819769525154636e-01
7.740415999999999741e+00,1.757027396935943453e-01
8.224192000000000391e+00,1.713226294768097901e-01
8.707967999999999265e+00,1.688512138994522904e-01
9.191743999999999915e+00,1.664765979321357059e-01
9.675520000000000564e+00,1.633560382363029306e-01
1.015929599999999944e+01,1.607337076919813645e-01
1.064307200000000009e+01,1.605224862082922088e-01
1.112684800000000074e+01,1.586765386375493525e-01
1.161062399999999961e+01,1.556108857940887158e-01
1.209440000000000026e+01,1.564710715343828051e-01
1.257817599999999914e+01,1.622429031405475952e-01
1.306195199999999979e+01,1.747775999632371069e-01
1.354572800000000043e+01,2.000290454072006785e-01
1.402950399999999931e+01,2.296842203284973627e-01
1.451327999999999996e+01,2.530141175870048720e-01
1.499705600000000061e+01,2.821024921043954747e-01
1.548083199999999948e+01,3.101527134649444406e-01
1.596460800000000013e+01,3.298982485392927266e-01
1.644838400000000078e+01,3.420809474849647591e-01
1.693215999999999966e+01,3.473832765681054147e-01
1.741593599999999853e+01,3.423515511094534225e-01
1.789971200000000096e+01,3.328079356954118939e-01
1.838348799999999983e+01,3.125481334152199198e-01
1.886726399999999870e+01,2.858579945001351597e-01
1.935104000000000113e+01,2.692428817529134988e-01
1.983481600000000000e+01,2.492301551828841888e-01
2.031859199999999888e+01,2.352067482461940584e-01
2.080236800000000130e+01,2.237671268525704138e-01
2.128614400000000018e+01,2.195198550051100927e-01
2.176991999999999905e+01,2.131960341379559865e-01
2.225369600000000148e+01,2.064671439410208365e-01
2.273747200000000035e+01,2.031902244511495093e-01
2.322124799999999922e+01,2.026249706725442024e-01
2.370502400000000165e+01,1.999964412568692451e-01
