time_fs,S2
0.000000000000000000e+00,1.000000001743126088e+00
4.837759999999999838e-01,9.923691836464159088e-01
9.675519999999999676e-01,9.695120305402210592e-01
1.451327999999999951e+00,9.240789556419423123e-01
1.935103999999999935e+00,8.457477551268474114e-01
2.418880000000000141e+00,7.470862933003170614e-01
2.902655999999999903e+00,6.477256897344284559e-01
3.386432000000000109e+00,5.497027421869349340e-01
3.870207999999999871e+00,4.699726093833484497e-01
4.353983999999999632e+00,4.124693719515468149e-01
4.837760000000000282e+00,3.662331898679649922e-01
5.321536000000000044e+00,3.361196192254283233e-01
5.805311999999999806e+00,3.166177673642514567e-01
6.289087999999999568e+00,3.005950317449425646e-01
6.772864000000000217e+00,2.898483286664927938e-01
7.256639999999999979e+00,2.812550166231574944e-01
7.740415999999999741e+00,2.751351404539692513e-01
8.224192000000000391e+00,2.690866071047738894e-01
8.707967999999999265e+00,2.634520889521237974e-01
9.191743999999999915e+00,2.597507100545639602e-01
9.675520000000000564e+00,2.548769164228948947e-01
1.015929599999999944e+01,2.504758808514713775e-01
1.064307200000000009e+01,2.443265078882941033e-01
1.112684800000000074e+01,2.386717788284261066e-01
1.161062399999999961e+01,2.335183937745496097e-01
1.209440000000000026e+01,2.319089910186827308e-01
1.257817599999999914e+01,2.342880494496898669e-01
1.306195199999999979e+01,2.402795696968497430e-01
1.354572800000000043e+01,2.514017826364087216e-01
1.402950399999999931e+01,2.697195824475193127e-01
1.451327999999999996e+01,2.985733499337375196e-01
1.499705600000000061e+01,3.376679712473933948e-01
1.548083199999999948e+01,3.742557798653369239e-01
1.596460800000000013e+01,4.087083910920079055e-01
1.644838400000000078e+01,4.408075988914675891e-01
1.693215999999999966e+01,4.623410336602066240e-01
1.741593599999999853e+01,4.725548444957637373e-01
1.789971200000000096e+01,4.697937608160481227e-01
1.838348799999999983e+01,4.605538425805670300e-01
1.886726399999999870e+01,4.435510775877781753e-01
1.935104000000000113e+01,4.227862317455505781e-01
1.983481600000000000e+01,3.957380087547596736e-01
2.031859199999999888e+01,3.637219231037735478e-01
2.080236800000000130e+01,3.357777262144589492e-01
2.128614400000000018e+01,3.123042001487743580e-01
2.176991999999999905e+01,2.887776732440478500e-01
2.225369600000000148e+01,2.702042270501483490e-01
2.273747200000000035e+01,2.580565453031865020e-01
2.322124799999999922e+01,2.499275190492187548e-01
2.370502400000000165e+01,2.455071340175716543e-01
2.418880000000000052e+01,2.444257715607499326e-01
2.467257599999999940e+01,2.436094589768552643e-01
2.515635199999999827e+01,2.444846778690515643e-01
2.564012800000000070e+01,2.464735014221402787e-01
2.612390399999999957e+01,2.479425840694471084e-01
2.660767999999999844e+01,2.491562658363624394e-01
2.709145600000000087e+01,2.491186519881090911e-01
2.757523199999999974e+01,2.499690225084498785e-01
2.805900799999999862e+01,2.518740393335383021e-01
2.854278400000000104e+01,2.522897480529124881e-01
2.902655999999999992e+01,2.502890013766436716e-01
2.951033599999999879e+01,2.470406845112008976e-01
2.999411200000000122e+01,2.458798648891591110e-01
3.047788800000000009e+01,2.510148248753653610e-01
3.096166399999999896e+01,2.536898413998054935e-01
3.144544000000000139e+01,2.597412835486859195e-01
3.192921600000000026e+01,2.730696549596852152e-01
3.241299200000000269e+01,2.914589327643652417e-01
3.289676800000000156e+01,3.144273171851574844e-01
3.338054400000000044e+01,3.378274830302098741e-01
3.386431999999999931e+01,3.569616355584280254e-01
3.434809599999999818e+01,3.763111663590403833e-01
3.483187199999999706e+01,3.875351039768928363e-01
3.531564800000000304e+01,3.924620845143718117e-01
3.579942400000000191e+01,3.967309860226451157e-01
3.628320000000000078e+01,3.958584572483301867e-01
3.676697599999999966e+01,3.885929295075592482e-01
3.725075199999999853e+01,3.802384520316658967e-01
3.773452799999999741e+01,3.684952420439998599e-01
3.821830399999999628e+01,3.522244069154126245e-01
3.870208000000000226e+01,3.397256815039439437e-01
3.918585600000000113e+01,3.265453813934000027e-01
3.966963200000000001e+01,3.065372639087713957e-01
4.015340799999999888e+01,2.947753013420639778e-01
4.063718399999999775e+01,2.858981385770277273e-01
4.112095999999999663e+01,2.753615139745974605e-01
4.160473600000000260e+01,2.667394604815539472e-01
4.208851200000000148e+01,2.593534850003786363e-01
4.257228800000000035e+01,2.567427994831210647e-01
4.305606399999999923e+01,2.578331420397315110e-01
4.353983999999999810e+01,2.590346674561567197e-01
4.402361599999999697e+01,2.613023283679586362e-01
4.450739200000000295e+01,2.646248885097339798e-01
4.499116800000000183e+01,2.672360583535672296e-01
