time_fs,S0,S1,S2
0.000000000000000000e+00,0.000000000000000000e+00,1.627624445269802836e-12,1.000000002905489183e+00
4.837759999999999838e-01,0.000000000000000000e+00,5.621735126338452820e-03,9.943782125694646812e-01
9.675519999999999676e-01,0.000000000000000000e+00,3.072219713291815882e-02,9.692777436849617789e-01
1.451327999999999951e+00,0.000000000000000000e+00,7.203482271813546611e-02,9.279651007520719475e-01
1.935103999999999935e+00,0.000000000000000000e+00,1.632700950382283966e-01,8.367298565923885212e-01
2.418880000000000141e+00,0.000000000000000000e+00,2.784784403129395569e-01,7.215215362626561379e-01
2.902655999999999903e+00,0.000000000000000000e+00,4.023728785422185927e-01,5.976271307776580555e-01
3.386432000000000109e+00,0.000000000000000000e+00,5.109109275883585433e-01,4.890890587377447196e-01
3.870207999999999871e+00,0.000000000000000000e+00,5.988797974409002522e-01,4.011202729406990741e-01
4.353983999999999632e+00,0.000000000000000000e+00,6.658364860819493414e-01,3.341635082095349984e-01
4.837760000000000282e+00,0.000000000000000000e+00,7.037148129798579399e-01,2.962852050782609492e-01
5.321536000000000044e+00,0.000000000000000000e+00,7.287198672880141892e-01,2.712801994678158968e-01
5.805311999999999806e+00,0.000000000000000000e+00,7.525839897204970041e-01,2.474160952979528871e-01
6.289087999999999568e+00,0.000000000000000000e+00,7.685615621917809559e-01,2.314385171420837994e-01
6.772864000000000217e+00,0.000000000000000000e+00,7.767006181985020019e-01,2.232995234733919088e-01
7.256639999999999979e+00,0.000000000000000000e+00,7.817079361943573002e-01,2.182922319092549801e-01
7.740415999999999741e+00,0.000000000000000000e+00,7.855340652875676399e-01,2.144660849375621958e-01
8.224192000000000391e+00,0.000000000000000000e+00,7.888669391775021689e-01,2.111332550800978369e-01
8.707967999999999265e+00,0.000000000000000000e+00,7.919220232496605449e-01,2.080781458818014573e-01
9.191743999999999915e+00,0.000000000000000000e+00,7.959742012421203716e-01,2.040259285968154257e-01
9.675520000000000564e+00,0.000000000000000000e+00,8.010063307724761827e-01,1.989937603177231173e-01
1.015929599999999944e+01,0.000000000000000000e+00,8.061673759546397200e-01,1.938327454646665837e-01
1.064307200000000009e+01,0.000000000000000000e+00,8.121619724136205365e-01,1.878381203379884123e-01
1.112684800000000074e+01,0.000000000000000000e+00,8.169099642058222921e-01,1.830901212149897705e-01
1.161062399999999961e+01,0.000000000000000000e+00,8.174602311055555459e-01,1.825398614135939346e-01
1.209440000000000026e+01,0.000000000000000000e+00,8.178505897832423210e-01,1.821494602369282123e-01
1.257817599999999914e+01,0.000000000000000000e+00,8.144478197119650043e-01,1.855521981760265837e-01
1.306195199999999979e+01,0.000000000000000000e+00,8.043365222965219719e-01,1.956634954947957250e-01
1.354572800000000043e+01,0.000000000000000000e+00,7.818702848435734598e-01,2.181296395649693909e-01
1.402950399999999931e+01,0.000000000000000000e+00,7.501670739465765569e-01,2.498327902657079824e-01
1.451327999999999996e+01,0.000000000000000000e+00,7.070540220230211448e-01,2.929458458178471614e-01
1.499705600000000061e+01,0.000000000000000000e+00,6.396457049333591494e-01,3.603542341673522942e-01
1.548083199999999948e+01,0.000000000000000000e+00,5.717347178465783664e-01,4.282652225622939346e-01
1.596460800000000013e+01,0.000000000000000000e+00,5.162908272371504736e-01,4.837091635672614576e-01
1.644838400000000078e+01,0.000000000000000000e+00,4.710949626992028128e-01,5.289050288255271459e-01
1.693215999999999966e+01,0.000000000000000000e+00,4.379211537323779435e-01,5.620788068437509999e-01
1.741593599999999853e+01,0.000000000000000000e+00,4.193961958687342229e-01,5.806037710088809423e-01
1.789971200000000096e+01,0.000000000000000000e+00,4.145306302936428988e-01,5.854693738184154617e-01
1.838348799999999983e+01,0.000000000000000000e+00,4.214340285317996204e-01,5.785659470674165972e-01
1.886726399999999870e+01,0.000000000000000000e+00,4.396884356774956593e-01,5.603115298513927645e-01
1.935104000000000113e+01,0.000000000000000000e+00,4.623810432502655776e-01,5.376188815291710332e-01
1.983481600000000000e+01,0.000000000000000000e+00,4.974195828965638499e-01,5.025804590178168940e-01
2.031859199999999888e+01,0.000000000000000000e+00,5.447139985213359514e-01,4.552860136523811940e-01
2.080236800000000130e+01,0.000000000000000000e+00,6.038540841384796298e-01,3.961458954682153255e-01
2.128614400000000018e+01,0.000000000000000000e+00,6.454449697391099194e-01,3.545549853888379510e-01
2.176991999999999905e+01,0.000000000000000000e+00,6.816289947084871459e-01,3.183709394232011047e-01
2.225369600000000148e+01,0.000000000000000000e+00,7.053897954850756324e-01,2.946101178215402294e-01
2.273747200000000035e+01,0.000000000000000000e+00,7.213228746095581290e-01,2.786771026322690248e-01
2.322124799999999922e+01,0.000000000000000000e+00,7.364903472812518448e-01,2.635096893340131419e-01
2.370502400000000165e+01,0.000000000000000000e+00,7.463394255667843424e-01,2.536606050433063420e-01
2.418880000000000052e+01,0.000000000000000000e+00,7.517670885572058648e-01,2.482329250584200953e-01
2.467257599999999940e+01,0.000000000000000000e+00,7.564997317111401554e-01,2.435002731996631087e-01
2.515635199999999827e+01,0.000000000000000000e+00,7.587625196425313856e-01,2.412375306860606028e-01
2.564012800000000070e+01,0.000000000000000000e+00,7.602875100325001689e-01,2.397124776532170154e-01
2.612390399999999957e+01,0.000000000000000000e+00,7.616963240981887706e-01,2.383037066498098488e-01
2.660767999999999844e+01,0.000000000000000000e+00,7.635539743233726862e-01,2.364460409944195429e-01
2.709145600000000087e+01,0.000000000000000000e+00,7.656120083730336701e-01,2.343879757190233670e-01
2.757523199999999974e+01,0.000000000000000000e+00,7.672721925937493470e-01,2.327278211811684705e-01
2.805900799999999862e+01,0.000000000000000000e+00,7.686292486193212481e-01,2.313707513254959214e-01
2.854278400000000104e+01,0.000000000000000000e+00,7.700015350273736736e-01,2.299984026494935607e-01
2.902655999999999992e+01,0.000000000000000000e+00,7.741750608132598188e-01,2.258248502867258034e-01
2.951033599999999879e+01,0.000000000000000000e+00,7.778522262139588861e-01,2.221476661200680325e-01
2.999411200000000122e+01,0.000000000000000000e+00,7.795708165716086491e-01,2.204291258303022472e-01
3.047788800000000009e+01,0.000000000000000000e+00,7.773652054610683537e-01,2.226347495410727073e-01
3.096166399999999896e+01,0.000000000000000000e+00,7.689826142516122953e-01,2.310173359901659396e-01
3.144544000000000139e+01,0.000000000000000000e+00,7.543384607921633789e-01,2.456615078153459863e-01
3.192921600000000026e+01,0.000000000000000000e+00,7.362216569825326129e-01,2.637783215222530564e-01
3.241299200000000269e+01,0.000000000000000000e+00,7.053655293977850738e-01,2.946344581063108370e-01
3.289676800000000156e+01,0.000000000000000000e+00,6.738262143594506703e-01,3.261738105052447434e-01
3.338054400000000044e+01,0.000000000000000000e+00,6.403107073279503680e-01,3.596893304095048483e-01
3.386431999999999931e+01,0.000000000000000000e+00,6.087169977682190813e-01,3.912830134792984471e-01
3.434809599999999818e+01,0.000000000000000000e+00,5.821796162504419003e-01,4.178203842080641661e-01
3.483187199999999706e+01,0.000000000000000000e+00,5.580386583882752660e-01,4.419613626441106224e-01
3.531564800000000304e+01,0.000000000000000000e+00,5.393871030657797494e-01,4.606129383856891191e-01
3.579942400000000191e+01,0.000000000000000000e+00,5.332914231560444973e-01,4.667086342750096928e-01
3.628320000000000078e+01,0.000000000000000000e+00,5.435361713584209165e-01,4.564639412505236971e-01
3.676697599999999966e+01,0.000000000000000000e+00,5.605772828107457029e-01,4.394228008635508442e-01
3.725075199999999853e+01,0.000000000000000000e+00,5.823836903257928466e-01,4.176163824722282647e-01
3.773452799999999741e+01,0.000000000000000000e+00,6.028809069226190864e-01,3.971192003300722528e-01
3.821830399999999628e+01,0.000000000000000000e+00,6.271642964960204569e-01,3.728358576985672523e-01
