time_fs,S2
0.000000000000000000e+00,1.000000002905489183e+00
4.837759999999999838e-01,9.943782125694646812e-01
9.675519999999999676e-01,9.692777436849617789e-01
1.451327999999999951e+00,9.279651007520719475e-01
1.935103999999999935e+00,8.367298565923885212e-01
2.418880000000000141e+00,7.215215362626561379e-01
2.902655999999999903e+00,5.976271307776580555e-01
3.386432000000000109e+00,4.890890587377447196e-01
3.870207999999999871e+00,4.011202729406990741e-01
4.353983999999999632e+00,3.341635082095349984e-01
4.837760000000000282e+00,2.962852050782609492e-01
5.321536000000000044e+00,2.712801994678158968e-01
5.805311999999999806e+00,2.474160952979528871e-01
6.289087999999999568e+00,2.314385171420837994e-01
6.772864000000000217e+00,2.232995234733919088e-01
7.256639999999999979e+00,2.182922319092549801e-01
7.740415999999999741e+00,2.144660849375621958e-01
8.224192000000000391e+00,2.111332550800978369e-01
8.707967999999999265e+00,2.080781458818014573e-01
9.191743999999999915e+00,2.040259285968154257e-01
9.675520000000000564e+00,1.989937603177231173e-01
1.015929599999999944e+01,1.938327454646665837e-01
1.064307200000000009e+01,1.878381203379884123e-01
1.112684800000000074e+01,1.830901212149897705e-01
1.161062399999999961e+01,1.825398614135939346e-01
1.209440000000000026e+01,1.821494602369282123e-01
1.257817599999999914e+01,1.855521981760265837e-01
1.306195199999999979e+01,1.956634954947957250e-01
1.354572800000000043e+01,2.181296395649693909e-01
1.402950399999999931e+01,2.498327902657079824e-01
1.451327999999999996e+01,2.929458458178471614e-01
1.499705600000000061e+01,3.603542341673522942e-01
1.548083199999999948e+01,4.282652225622939346e-01
1.596460800000000013e+01,4.837091635672614576e-01
1.644838400000000078e+01,5.289050288255271459e-01
1.693215999999999966e+01,5.620788068437509999e-01
1.741593599999999853e+01,5.806037710088809423e-01
1.789971200000000096e+01,5.854693738184154617e-01
1.838348799999999983e+01,5.785659470674165972e-01
1.886726399999999870e+01,5.603115298513927645e-01
1.935104000000000113e+01,5.376188815291710332e-01
1.983481600000000000e+01,5.025804590178168940e-01
2.031859199999999888e+01,4.552860136523811940e-01
2.080236800000000130e+01,3.961458954682153255e-01
2.128614400000000018e+01,3.545549853888379510e-01
2.176991999999999905e+01,3.183709394232011047e-01
2.225369600000000148e+01,2.946101178215402294e-01
2.273747200000000035e+01,2.786771026322690248e-01
2.322124799999999922e+01,2.635096893340131419e-01
2.370502400000000165e+01,2.536606050433063420e-01
2.418880000000000052e+01,2.482329250584200953e-01
2.467257599999999940e+01,2.435002731996631087e-01
2.515635199999999827e+01,2.412375306860606028e-01
2.564012800000000070e+01,2.397124776532170154e-01
2.612390399999999957e+01,2.383037066498098488e-01
2.660767999999999844e+01,2.364460409944195429e-01
2.709145600000000087e+01,2.343879757190233670e-01
2.757523199999999974e+01,2.327278211811684705e-01
2.805900799999999862e+01,2.313707513254959214e-01
2.854278400000000104e+01,2.299984026494935607e-01
2.902655999999999992e+01,2.258248502867258034e-01
2.951033599999999879e+01,2.221476661200680325e-01
2.999411200000000122e+01,2.204291258303022472e-01
3.047788800000000009e+01,2.226347495410727073e-01
3.096166399999999896e+01,2.310173359901659396e-01
3.144544000000000139e+01,2.456615078153459863e-01
3.192921600000000026e+01,2.637783215222530564e-01
3.241299200000000269e+01,2.946344581063108370e-01
3.289676800000000156e+01,3.261738105052447434e-01
3.338054400000000044e+01,3.596893304095048483e-01
3.386431999999999931e+01,3.912830134792984471e-01
3.434809599999999818e+01,4.178203842080641661e-01
3.483187199999999706e+01,4.419613626441106224e-01
3.531564800000000304e+01,4.606129383856891191e-01
3.579942400000000191e+01,4.667086342750096928e-01
3.628320000000000078e+01,4.564639412505236971e-01
3.676697599999999966e+01,4.394228008635508442e-01
3.725075199999999853e+01,4.176163824722282647e-01
3.773452799999999741e+01,3.971192003300722528e-01
3.821830399999999628e+01,3.728358576985672523e-01
3.870208000000000226e+01,3.362882949522244536e-01
3.918585600000000113e+01,3.029976752785292771e-01
3.966963200000000001e+01,2.818522313789632583e-01
4.015340799999999888e+01,2.654769491147240257e-01
4.063718399999999775e+01,2.497830646161883217e-01
4.112095999999999663e+01,2.368782535546696544e-01
4.160473600000000260e+01,2.297093066723185084e-01
4.208851200000000148e+01,2.243737526236317670e-01
4.257228800000000035e+01,2.227760684808341718e-01
4.305606399999999923e+01,2.222029826849260814e-01
4.353983999999999810e+01,2.187704918368218454e-01
4.402361599999999697e+01,2.159685890584298329e-01
4.450739200000000295e+01,2.139733395836313778e-01
4.499116800000000183e+01,2.122197130207198468e-01
4.547494400000000070e+01,2.114943210842366306e-01
4.595871999999999957e+01,2.112289496847085390e-01
4.644249599999999845e+01,2.107753038622595110e-01
4.692627199999999732e+01,2.105539246375361107e-01
4.741004800000000330e+01,2.093805016709234246e-01
4.789382400000000217e+01,2.083979034686050669e-01
4.837760000000000105e+01,2.100973276908381648e-01
4.886137599999999992e+01,2.135478017288851560e-01
4.934515199999999879e+01,2.225395875241973076e-01
4.982892799999999767e+01,2.328543353753167733e-01
5.031270399999999654e+01,2.486099425484996905e-01
5.079648000000000252e+01,2.633479285455209706e-01
5.128025600000000139e+01,2.817233267803695984e-01
5.176403200000000027e+01,2.947218182710117929e-01
5.224780799999999914e+01,3.080170694051940217e-01
5.273158399999999801e+01,3.227269851385757282e-01
5.321535999999999689e+01,3.371327225436336894e-01
5.369913600000000287e+01,3.427817081561331247e-01
5.418291200000000174e+01,3.400827959396044986e-01
5.466668800000000061e+01,3.346983858185119676e-01
5.515046399999999949e+01,3.245082316144436430e-01
5.563423999999999836e+01,3.080785131708660418e-01
5.611801599999999723e+01,2.904044793967198168e-01
5.660179200000000321e+01,2.777678285650453383e-01
5.708556800000000209e+01,2.680198207985082792e-01
5.756934400000000096e+01,2.559253619436662186e-01
5.805311999999999983e+01,2.450665766937067391e-01
5.853689599999999871e+01,2.361479750187623350e-01
5.902067199999999758e+01,2.343884525795958407e-01
5.950444799999999645e+01,2.339195587257430486e-01
5.998822400000000243e+01,2.332685711875929213e-01
6.047200000000000131e+01,2.334513002345734445e-01
6.095577600000000018e+01,2.320272918620450153e-01
6.143955199999999905e+01,2.302153427685816323e-01
6.192332799999999793e+01,2.285104981909779065e-01
6.240710399999999680e+01,2.260037801112343425e-01
6.289088000000000278e+01,2.262505719277602134e-01
6.337465600000000165e+01,2.261733559128897841e-01
6.385843200000000053e+01,2.234595075501347172e-01
6.434220799999999940e+01,2.245050139645564935e-01
6.482598400000000538e+01,2.299119412879700175e-01
6.530975999999999715e+01,2.326046289627607122e-01
6.579353600000000313e+01,2.352189376075955740e-01
6.627731199999999490e+01,2.407604776781366307e-01
6.676108800000000087e+01,2.440096221728527692e-01
6.724486399999999264e+01,2.493083539487684075e-01
6.772863999999999862e+01,2.560283619131236144e-01
6.821241600000000460e+01,2.629919297809845125e-01
6.869619199999999637e+01,2.738656514842727763e-01
6.917996800000000235e+01,2.878349675868930313e-01
6.966374399999999412e+01,2.948431866722623362e-01
7.014752000000000010e+01,2.987258758163770511e-01
7.063129600000000607e+01,3.003162576811050366e-01
7.111507199999999784e+01,3.014617807596246535e-01
7.159884800000000382e+01,3.038093732532316515e-01
7.208262399999999559e+01,3.029933123826600294e-01
7.256640000000000157e+01,3.003310648396913529e-01
7.305017599999999334e+01,2.958399962659404303e-01
7.353395199999999932e+01,2.855287055626742898e-01
7.401772800000000530e+01,2.750661554520915653e-01
7.450150399999999706e+01,2.647138983251158817e-01
7.498528000000000304e+01,2.594637058163137278e-01
7.546905599999999481e+01,2.504902852664225299e-01
7.595283200000000079e+01,2.459022262564368178e-01
7.643660799999999256e+01,2.439151420153617689e-01
7.692038399999999854e+01,2.429529453924043625e-01
7.740416000000000452e+01,2.407810227710168727e-01
7.788793599999999628e+01,2.400177952390323277e-01
7.837171200000000226e+01,2.378697025200641746e-01
7.885548799999999403e+01,2.347176791905888071e-01
7.933926400000000001e+01,2.313499159521257287e-01
7.982304000000000599e+01,2.277437644407782069e-01
8.030681599999999776e+01,2.275265768265010147e-01
8.079059200000000374e+01,2.268526225337629265e-01
8.127436799999999550e+01,2.251856585755651896e-01
8.175814400000000148e+01,2.249809495801952108e-01
8.224191999999999325e+01,2.259233440426136608e-01
8.272569599999999923e+01,2.285073141829179200e-01
8.320947200000000521e+01,2.293194438201915930e-01
8.369324799999999698e+01,2.279576377498583883e-01
8.417702400000000296e+01,2.289683232184514250e-01
8.466079999999999472e+01,2.285281024360468483e-01
8.514457600000000070e+01,2.281963203161708476e-01
8.562835200000000668e+01,2.284820017573822859e-01
8.611212799999999845e+01,2.313954963354668271e-01
8.659590400000000443e+01,2.328262456585248608e-01
8.707967999999999620e+01,2.388513757742819210e-01
8.756345600000000218e+01,2.455437908320954876e-01
8.804723199999999395e+01,2.490263415508687239e-01
8.853100799999999992e+01,2.500697964355715897e-01
8.901478400000000590e+01,2.478080480227817795e-01
8.949855999999999767e+01,2.460809126627280241e-01
8.998233600000000365e+01,2.475983129252725679e-01
9.046611199999999542e+01,2.511471418568756442e-01
9.094988800000000140e+01,2.532012033649160831e-01
9.143366399999999317e+01,2.525438404540619741e-01
