time_fs,S2
0.000000000000000000e+00,9.999999981764802204e-01
4.837759999999999838e-01,9.928512644504189355e-01
9.675519999999999676e-01,9.619190276543233553e-01
1.451327999999999951e+00,8.975787558775664143e-01
1.935103999999999935e+00,8.141022389869854159e-01
2.418880000000000141e+00,7.074098844371577988e-01
2.902655999999999903e+00,6.062037130610953284e-01
3.386432000000000109e+00,5.166899096671904168e-01
3.870207999999999871e+00,4.400254559820983014e-01
4.353983999999999632e+00,3.885984553636799843e-01
4.837760000000000282e+00,3.649016079031662807e-01
5.321536000000000044e+00,3.544990169872385133e-01
5.805311999999999806e+00,3.552516107738956652e-01
6.289087999999999568e+00,3.712632149943181359e-01
6.772864000000000217e+00,3.905591576122387498e-01
7.256639999999999979e+00,4.094432815645179247e-01
7.740415999999999741e+00,4.283722733627736146e-01
8.224192000000000391e+00,4.391155764197885447e-01
8.707967999999999265e+00,4.469048136509691238e-01
9.191743999999999915e+00,4.496006611346315407e-01
9.675520000000000564e+00,4.480862864537301649e-01
1.015929599999999944e+01,4.458610352236418994e-01
1.064307200000000009e+01,4.437470836890562986e-01
1.112684800000000074e+01,4.373125285679452801e-01
1.161062399999999961e+01,4.298472007762937364e-01
1.209440000000000026e+01,4.162174109643622111e-01
1.257817599999999914e+01,4.059186364382594281e-01
1.306195199999999979e+01,3.980663220872495689e-01
1.354572800000000043e+01,3.912599843537926114e-01
1.402950399999999931e+01,3.789750415326803568e-01
1.451327999999999996e+01,3.712652434217024733e-01
1.499705600000000061e+01,3.685099755902452312e-01
1.548083199999999948e+01,3.753538472919892843e-01
1.596460800000000013e+01,3.817172371638467010e-01
1.644838400000000078e+01,3.910295588651589993e-01
1.693215999999999966e+01,4.045542692722209899e-01
1.741593599999999853e+01,4.256482652141062584e-01
1.789971200000000096e+01,4.422799207040049030e-01
1.838348799999999983e+01,4.541265746796552816e-01
1.886726399999999870e+01,4.629582540605714502e-01
1.935104000000000113e+01,4.678372855707922939e-01
1.983481600000000000e+01,4.743656104495704295e-01
2.031859199999999888e+01,4.797405959358062022e-01
2.080236800000000130e+01,4.788246875034273264e-01
2.128614400000000018e+01,4.728947309543905519e-01
2.176991999999999905e+01,4.603970938032302951e-01
2.225369600000000148e+01,4.504231229385068924e-01
2.273747200000000035e+01,4.432835110379810817e-01
2.322124799999999922e+01,4.369967361618661839e-01
2.370502400000000165e+01,4.281788676213524880e-01
2.418880000000000052e+01,4.207995110424614382e-01
2.467257599999999940e+01,4.165569903663260964e-01
2.515635199999999827e+01,4.144081481073355611e-01
2.564012800000000070e+01,4.084133989272338283e-01
2.612390399999999957e+01,4.057459204020942289e-01
2.660767999999999844e+01,4.076830389813125843e-01
2.709145600000000087e+01,4.094468599178308077e-01
2.757523199999999974e+01,4.081385017844378904e-01
2.805900799999999862e+01,4.081575870963817243e-01
2.854278400000000104e+01,4.101477432974808823e-01
2.902655999999999992e+01,4.077776451636933586e-01
2.951033599999999879e+01,4.076979780253062735e-01
2.999411200000000122e+01,4.055201669472199288e-01
3.047788800000000009e+01,4.031119155368338425e-01
3.096166399999999896e+01,4.000650813291006802e-01
3.144544000000000139e+01,3.960886264826135039e-01
3.192921600000000026e+01,3.908059269471074737e-01
3.241299200000000269e+01,3.909400775332156353e-01
3.289676800000000156e+01,3.920689316539238134e-01
3.338054400000000044e+01,3.938082467866690917e-01
3.386431999999999931e+01,3.935847903046109653e-01
3.434809599999999818e+01,3.901730602196146203e-01
3.483187199999999706e+01,3.878233878031920323e-01
3.531564800000000304e+01,3.842370015075010081e-01
3.579942400000000191e+01,3.806407001814222091e-01
3.628320000000000078e+01,3.818562031463083595e-01
3.676697599999999966e+01,3.836471085065598086e-01
3.725075199999999853e+01,3.823182481459136972e-01
3.773452799999999741e+01,3.793780582684215252e-01
3.821830399999999628e+01,3.797347940170169855e-01
3.870208000000000226e+01,3.789046151622923464e-01
3.918585600000000113e+01,3.763510809261141898e-01
3.966963200000000001e+01,3.735493447020596380e-01
4.015340799999999888e+01,3.741751718648759217e-01
4.063718399999999775e+01,3.750023056574093294e-01
4.112095999999999663e+01,3.729002170357871848e-01
4.160473600000000260e+01,3.715151535015599471e-01
4.208851200000000148e+01,3.711386610333821667e-01
4.257228800000000035e+01,3.700137746548543549e-01
4.305606399999999923e+01,3.708566744191982845e-01
4.353983999999999810e+01,3.687696446109968718e-01
4.402361599999999697e+01,3.687300672240214627e-01
4.450739200000000295e+01,3.682120817393573775e-01
4.499116800000000183e+01,3.626961149590785527e-01
4.547494400000000070e+01,3.609241883405927553e-01
4.595871999999999957e+01,3.597219619901857457e-01
4.644249599999999845e+01,3.578931156430786853e-01
4.692627199999999732e+01,3.521917023365161992e-01
4.741004800000000330e+01,3.448424220469191170e-01
4.789382400000000217e+01,3.409070873803333734e-01
4.837760000000000105e+01,3.411719483048622492e-01
4.886137599999999992e+01,3.425819904139218441e-01
4.934515199999999879e+01,3.438975864220027989e-01
4.982892799999999767e+01,3.433105875520727768e-01
5.031270399999999654e+01,3.431336894166545637e-01
5.079648000000000252e+01,3.430588318314450325e-01
5.128025600000000139e+01,3.412166032285575690e-01
5.176403200000000027e+01,3.388124257328703481e-01
5.224780799999999914e+01,3.352306741339514118e-01
5.273158399999999801e+01,3.330813938852443812e-01
5.321535999999999689e+01,3.349849031518968845e-01
5.369913600000000287e+01,3.379112734967420484e-01
5.418291200000000174e+01,3.388173119366486019e-01
5.466668800000000061e+01,3.369537550947700466e-01
5.515046399999999949e+01,3.338702585955543034e-01
5.563423999999999836e+01,3.293052672281919779e-01
5.611801599999999723e+01,3.277241522302398180e-01
5.660179200000000321e+01,3.257504784741944159e-01
5.708556800000000209e+01,3.219687818882294161e-01
5.756934400000000096e+01,3.214029932933678557e-01
5.805311999999999983e+01,3.202187590472953538e-01
5.853689599999999871e+01,3.160115913303958579e-01
5.902067199999999758e+01,3.186164933917170483e-01
5.950444799999999645e+01,3.212109239985144193e-01
5.998822400000000243e+01,3.202156109830067710e-01
6.047200000000000131e+01,3.201928937440391976e-01
6.095577600000000018e+01,3.202259075693926205e-01
6.143955199999999905e+01,3.211220935504786045e-01
6.192332799999999793e+01,3.205778248054176327e-01
6.240710399999999680e+01,3.217530538307910581e-01
6.289088000000000278e+01,3.225863009758715427e-01
6.337465600000000165e+01,3.238533308110637665e-01
6.385843200000000053e+01,3.239503559997125581e-01
6.434220799999999940e+01,3.224528080435806188e-01
6.482598400000000538e+01,3.216022196097234609e-01
6.530975999999999715e+01,3.188349895633776354e-01
6.579353600000000313e+01,3.119835111447153420e-01
6.627731199999999490e+01,3.070634688720637606e-01
6.676108800000000087e+01,3.052570090012853843e-01
6.724486399999999264e+01,3.047946123569350019e-01
6.772863999999999862e+01,3.028262065226028921e-01
6.821241600000000460e+01,2.975326069718356448e-01
6.869619199999999637e+01,2.945544069182186031e-01
6.917996800000000235e+01,2.944514345870142269e-01
6.966374399999999412e+01,2.939330250667131494e-01
7.014752000000000010e+01,2.929393056835480902e-01
7.063129600000000607e+01,2.940969630486622854e-01
7.111507199999999784e+01,2.949752374672762745e-01
7.159884800000000382e+01,2.909498859813403060e-01
7.208262399999999559e+01,2.848415545293143114e-01
7.256640000000000157e+01,2.815071300906914487e-01
7.305017599999999334e+01,2.814998204396950143e-01
7.353395199999999932e+01,2.802501376475017292e-01
7.401772800000000530e+01,2.794930686465557090e-01
7.450150399999999706e+01,2.771151656049175016e-01
7.498528000000000304e+01,2.757471731420025884e-01
7.546905599999999481e+01,2.742123856663636339e-01
7.595283200000000079e+01,2.700803326967753937e-01
7.643660799999999256e+01,2.698844208042635584e-01
7.692038399999999854e+01,2.697979935723193723e-01
7.740416000000000452e+01,2.695043779165762210e-01
7.788793599999999628e+01,2.716923173208429798e-01
7.837171200000000226e+01,2.692769825296769115e-01
7.885548799999999403e+01,2.634579358015743944e-01
7.933926400000000001e+01,2.600102595864575705e-01
7.982304000000000599e+01,2.610227671333287258e-01
8.030681599999999776e+01,2.645436159677619359e-01
8.079059200000000374e+01,2.640219118632657347e-01
8.127436799999999550e+01,2.607235811032944106e-01
8.175814400000000148e+01,2.586921456579042156e-01
8.224191999999999325e+01,2.556656907392367284e-01
8.272569599999999923e+01,2.527596328210544585e-01
8.320947200000000521e+01,2.542362554044834133e-01
8.369324799999999698e+01,2.557111064569420056e-01
8.417702400000000296e+01,2.564527103314416245e-01
8.466079999999999472e+01,2.576441530244703015e-01
8.514457600000000070e+01,2.593517680903001943e-01
8.562835200000000668e+01,2.603252024122184594e-01
8.611212799999999845e+01,2.580143877167476729e-01
8.659590400000000443e+01,2.573071220047658536e-01
8.707967999999999620e+01,2.611271321395450817e-01
8.756345600000000218e+01,2.610084429196481981e-01
8.804723199999999395e+01,2.581547841204949734e-01
8.853100799999999992e+01,2.574561519181099989e-01
8.901478400000000590e+01,2.577647868271868425e-01
8.949855999999999767e+01,2.582466963391998882e-01
8.998233600000000365e+01,2.596371057074176592e-01
9.046611199999999542e+01,2.628545371319844781e-01
9.094988800000000140e+01,2.644220761275244969e-01
9.143366399999999317e+01,2.646614172905574214e-01
9.191743999999999915e+01,2.652375674635272240e-01
9.240121600000000512e+01,2.670046358232184835e-01
9.288499199999999689e+01,2.677168389105120117e-01
9.336876800000000287e+01,2.695492131082549703e-01
9.385254399999999464e+01,2.705659456108068794e-01
9.433632000000000062e+01,2.697327154912425584e-01
9.482009600000000660e+01,2.672256317400957260e-01
9.530387199999999837e+01,2.654621981060069080e-01
9.578764800000000434e+01,2.636672533520583173e-01
9.627142399999999611e+01,2.619987705252099786e-01
9.675520000000000209e+01,2.599987297236829864e-01
9.723897599999999386e+01,2.568583043754757433e-01
9.772275199999999984e+01,2.530397842413271148e-01
9.820652800000000582e+01,2.490424425773745953e-01
9.869030399999999759e+01,2.506083400173762521e-01
9.917408000000000357e+01,2.509785623807474497e-01
9.965785599999999533e+01,2.497716432651661544e-01
1.001416320000000013e+02,2.494032857351122789e-01
1.006254079999999931e+02,2.479189942316108730e-01
1.011091839999999991e+02,2.459227822415043230e-01
1.015929600000000050e+02,2.457412138817998970e-01
1.020767359999999968e+02,2.451139703180484353e-01
1.025605120000000028e+02,2.423979839593015662e-01
1.030442879999999946e+02,2.403114266690450085e-01
1.035280640000000005e+02,2.398273262946858664e-01
1.040118400000000065e+02,2.434989665026700278e-01
1.044956159999999983e+02,2.469201629901648654e-01
1.049793920000000043e+02,2.486315233092149524e-01
1.054631679999999960e+02,2.518686241670733961e-01
1.059469440000000020e+02,2.532983631043660422e-01
1.064307199999999938e+02,2.543244902975457244e-01
1.069144959999999998e+02,2.543787730837819838e-01
1.073982720000000057e+02,2.520208559744862020e-01
1.078820479999999975e+02,2.478473318944457993e-01
1.083658240000000035e+02,2.475692841882777273e-01
1.088495999999999952e+02,2.464220988432229698e-01
1.093333760000000012e+02,2.483458234728018466e-01
1.098171519999999930e+02,2.505738384446247191e-01
1.103009279999999990e+02,2.482771221177654253e-01
1.107847040000000050e+02,2.456114626639927245e-01
1.112684799999999967e+02,2.443593433846334984e-01
1.117522560000000027e+02,2.455397008628991407e-01
1.122360319999999945e+02,2.460815604936165413e-01
1.127198080000000004e+02,2.443776843428761836e-01
1.132035840000000064e+02,2.426657543725905808e-01
1.136873599999999982e+02,2.401672148109198768e-01
1.141711360000000042e+02,2.381545242230790060e-01
1.146549119999999959e+02,2.364474168747439931e-01
1.151386880000000019e+02,2.343585202415204571e-01
1.156224639999999937e+02,2.330858529109316735e-01
1.161062399999999997e+02,2.325317119147647382e-01
1.165900160000000056e+02,2.345045182556124985e-01
1.170737919999999974e+02,2.375468522217906164e-01
1.175575680000000034e+02,2.408982511244179558e-01
1.180413439999999952e+02,2.432991517294304240e-01
1.185251200000000011e+02,2.436832519025008137e-01
1.190088959999999929e+02,2.448921471932731242e-01
1.194926719999999989e+02,2.446953121908062578e-01
1.199764480000000049e+02,2.453844009409708871e-01
1.204602239999999966e+02,2.431430085271866770e-01
1.209440000000000026e+02,2.377408196942353003e-01
1.214277759999999944e+02,2.369263360765072879e-01
1.219115520000000004e+02,2.358992464778208731e-01
1.223953280000000063e+02,2.353279643977523039e-01
1.228791039999999981e+02,2.350180858346724300e-01
1.233628800000000041e+02,2.350809085961223788e-01
1.238466559999999959e+02,2.335407941145214716e-01
1.243304320000000018e+02,2.330189588435876147e-01
1.248142079999999936e+02,2.345111774428725870e-01
1.252979839999999996e+02,2.376449977180230266e-01
1.257817600000000056e+02,2.417774324176373557e-01
1.262655359999999973e+02,2.443894224428001805e-01
1.267493120000000033e+02,2.460453166183729501e-01
1.272330879999999951e+02,2.477017499081680674e-01
1.277168640000000011e+02,2.490636114125545364e-01
1.282006399999999928e+02,2.481836273985359720e-01
1.286844159999999988e+02,2.459201805310193834e-01
1.291681920000000048e+02,2.415958257810047749e-01
1.296519680000000108e+02,2.383883612538158503e-01
1.301357439999999883e+02,2.348402511648341462e-01
1.306195199999999943e+02,2.316323400562809443e-01
1.311032960000000003e+02,2.292024955417138743e-01
1.315870720000000063e+02,2.276073920169337794e-01
1.320708480000000122e+02,2.267995548165249453e-01
1.325546239999999898e+02,2.242277871573736536e-01
1.330383999999999958e+02,2.222063122310933281e-01
1.335221760000000017e+02,2.235418472854472371e-01
1.340059520000000077e+02,2.239165988409818897e-01
1.344897279999999853e+02,2.214372963969213903e-01
1.349735039999999913e+02,2.214252812524231673e-01
1.354572799999999972e+02,2.219041063542663006e-01
1.359410560000000032e+02,2.226324011161240901e-01
1.364248320000000092e+02,2.232549250169440780e-01
1.369086079999999868e+02,2.243499457534449126e-01
1.373923839999999927e+02,2.227855578575506923e-01
1.378761599999999987e+02,2.222094770908147054e-01
1.383599360000000047e+02,2.222263493043343530e-01
1.388437120000000107e+02,2.215364412637203795e-01
1.393274879999999882e+02,2.221834726500074020e-01
1.398112639999999942e+02,2.202291919298715595e-01
1.402950400000000002e+02,2.187364952775053828e-01
1.407788160000000062e+02,2.190658112118952783e-01
1.412625920000000121e+02,2.195421418113612244e-01
1.417463679999999897e+02,2.189916905399193203e-01
1.422301439999999957e+02,2.208952759181634362e-01
1.427139200000000017e+02,2.232540052523750707e-01
1.431976960000000076e+02,2.266006501997377964e-01
1.436814719999999852e+02,2.268787955852044069e-01
1.441652479999999912e+02,2.281618447351557166e-01
1.446490239999999972e+02,2.271031158027792540e-01
1.451328000000000031e+02,2.230300099596962682e-01
1.456165760000000091e+02,2.218391019722373292e-01
1.461003519999999867e+02,2.216313655748214650e-01
1.465841279999999927e+02,2.179866468438368121e-01
1.470679039999999986e+02,2.153173906855519737e-01
1.475516800000000046e+02,2.145027642196064843e-01
1.480354560000000106e+02,2.151260966453779622e-01
1.485192319999999881e+02,2.136841811897720878e-01
1.490030079999999941e+02,2.132570813527285558e-01
1.494867840000000001e+02,2.143781673411343514e-01
1.499705600000000061e+02,2.182017949355682662e-01
1.504543360000000121e+02,2.204113772369599988e-01
1.509381119999999896e+02,2.224890420103913802e-01
1.514218879999999956e+02,2.242698545350073347e-01
1.519056640000000016e+02,2.252644191920554761e-01
1.523894400000000076e+02,2.251335758958904754e-01
1.528732159999999851e+02,2.227142197478489405e-01
1.533569919999999911e+02,2.196416000964564741e-01
1.538407679999999971e+02,2.207985564862978423e-01
1.543245440000000031e+02,2.202537878180699238e-01
1.548083200000000090e+02,2.173609723161547547e-01
1.552920959999999866e+02,2.180585552140676953e-01
1.557758719999999926e+02,2.224174148083386260e-01
1.562596479999999985e+02,2.253432280968102053e-01
1.567434240000000045e+02,2.254201485899485491e-01
1.572272000000000105e+02,2.243188673739944794e-01
1.577109759999999881e+02,2.228685975078271986e-01
1.581947519999999940e+02,2.246091748912351360e-01
1.586785280000000000e+02,2.253146669108701261e-01
1.591623040000000060e+02,2.234276338417559293e-01
1.596460800000000120e+02,2.215059664373368320e-01
1.601298559999999895e+02,2.206122473179486232e-01
1.606136319999999955e+02,2.213615655942496596e-01
1.610974080000000015e+02,2.222985583126546316e-01
1.615811840000000075e+02,2.223283089964568082e-01
1.620649599999999850e+02,2.218327039410446788e-01
1.625487359999999910e+02,2.233323413670049717e-01
1.630325119999999970e+02,2.224636785496227342e-01
1.635162880000000030e+02,2.221259317757732776e-01
1.640000640000000089e+02,2.213189351545024053e-01
1.644838399999999865e+02,2.212739572019095102e-01
1.649676159999999925e+02,2.196634301025457703e-01
1.654513919999999985e+02,2.154193891065332433e-01
1.659351680000000044e+02,2.122152938013120715e-01
1.664189440000000104e+02,2.103133266133060397e-01
1.669027199999999880e+02,2.074645874262096013e-01
1.673864959999999940e+02,2.054224502927613216e-01
