t_fs,S2_mean,S1_mean
0.0000,1.00000,0.00000
0.4838,0.99438,0.00562
0.9676,0.96928,0.03072
1.4513,0.92797,0.07203
1.9351,0.83673,0.16327
2.4189,0.72152,0.27848
2.9027,0.59763,0.40237
3.3864,0.48909,0.51091
3.8702,0.40112,0.59888
4.3540,0.33416,0.66584
4.8378,0.29629,0.70371
5.3215,0.27128,0.72872
5.8053,0.24742,0.75258
6.2891,0.23144,0.76856
6.7729,0.22330,0.77670
7.2566,0.21829,0.78171
7.7404,0.21447,0.78553
8.2242,0.21113,0.78887
8.7080,0.20808,0.79192
9.1917,0.20403,0.79597
9.6755,0.19899,0.80101
10.1593,0.19383,0.80617
10.6431,0.18784,0.81216
11.1268,0.18309,0.81691
11.6106,0.18254,0.81746
12.0944,0.18215,0.81785
12.5782,0.18555,0.81445
13.0620,0.19566,0.80434
13.5457,0.21813,0.78187
14.0295,0.24983,0.75017
14.5133,0.29295,0.70705
14.9971,0.36035,0.63965
15.4808,0.42827,0.57173
15.9646,0.48371,0.51629
16.4484,0.52891,0.47109
16.9322,0.56208,0.43792
17.4159,0.58060,0.41940
17.8997,0.58547,0.41453
18.3835,0.57857,0.42143
18.8673,0.56031,0.43969
19.3510,0.53762,0.46238
19.8348,0.50258,0.49742
20.3186,0.45529,0.54471
20.8024,0.39615,0.60385
21.2861,0.35455,0.64544
21.7699,0.31837,0.68163
22.2537,0.29461,0.70539
22.7375,0.27868,0.72132
23.2212,0.26351,0.73649
23.7050,0.25366,0.74634
24.1888,0.24823,0.75177
24.6726,0.24350,0.75650
25.1564,0.24124,0.75876
25.6401,0.23971,0.76029
26.1239,0.23830,0.76170
26.6077,0.23645,0.76355
27.0915,0.23439,0.76561
27.5752,0.23273,0.76727
28.0590,0.23137,0.76863
28.5428,0.23000,0.77000
29.0266,0.22582,0.77418
29.5103,0.22215,0.77785
29.9941,0.22043,0.77957
30.4779,0.22263,0.77737
30.9617,0.23102,0.76898
31.4454,0.24566,0.75434
31.9292,0.26378,0.73622
32.4130,0.29463,0.70537
32.8968,0.32617,0.67383
33.3805,0.35969,0.64031
33.8643,0.39128,0.60872
34.3481,0.41782,0.58218
34.8319,0.44196,0.55804
35.3156,0.46061,0.53939
35.7994,0.46671,0.53329
36.2832,0.45646,0.54354
36.7670,0.43942,0.56058
37.2508,0.41762,0.58238
37.7345,0.39712,0.60288
38.2183,0.37284,0.62716
38.7021,0.33629,0.66371
39.1859,0.30300,0.69700
39.6696,0.28185,0.71815
