t_fs,S2_vel_mean,S2_vel_sem,S2_coup_mean,S2_coup_sem,S1_vel_mean,S1_coup_mean
0.0000,1.00000,0.00000,1.00000,0.00000,0.00000,0.00000
0.2419,0.99968,0.00022,0.99935,0.00040,0.00032,0.00065
0.4838,0.99911,0.00054,0.99822,0.00089,0.00089,0.00178
0.7257,0.99816,0.00082,0.99636,0.00134,0.00184,0.00364
0.9676,0.99617,0.00137,0.99283,0.00220,0.00383,0.00717
1.2094,0.99141,0.00271,0.98635,0.00396,0.00859,0.01365
1.4513,0.97890,0.00560,0.97599,0.00635,0.02110,0.02401
1.6932,0.95728,0.01098,0.95994,0.00924,0.04272,0.04006
1.9351,0.93765,0.01417,0.92682,0.01607,0.06235,0.07294
2.1770,0.91603,0.01620,0.89900,0.01894,0.08397,0.10075
2.4189,0.88610,0.01851,0.86447,0.02156,0.11390,0.13527
2.6608,0.85389,0.02131,0.82767,0.02427,0.14611,0.17206
2.9027,0.82192,0.02316,0.79326,0.02616,0.17807,0.20647
3.1445,0.77908,0.02579,0.76236,0.02756,0.22126,0.23736
3.3864,0.74463,0.02628,0.73095,0.02829,0.25568,0.26876
3.6283,0.70740,0.02720,0.70162,0.02886,0.29290,0.29808
3.8702,0.67392,0.02782,0.67494,0.02896,0.32638,0.32475
4.1121,0.64485,0.02791,0.65147,0.02920,0.35545,0.34822
4.3540,0.62127,0.02789,0.63488,0.02960,0.37903,0.36480
4.5959,0.60159,0.02797,0.62329,0.02987,0.39870,0.37639
4.8378,0.58527,0.02790,0.61384,0.03000,0.41502,0.38583
5.0796,0.57142,0.02765,0.60355,0.02989,0.42887,0.39612
5.3215,0.55642,0.02706,0.58973,0.02955,0.44387,0.40992
5.5634,0.54221,0.02652,0.57540,0.02941,0.45808,0.42425
5.8053,0.52947,0.02613,0.56263,0.02934,0.47081,0.43701
6.0472,0.51786,0.02585,0.55220,0.02944,0.48240,0.44742
6.2891,0.50729,0.02579,0.54287,0.02964,0.49297,0.45674
6.5310,0.49572,0.02594,0.53309,0.02976,0.50453,0.46650
6.7729,0.48368,0.02603,0.52228,0.02972,0.51657,0.47730
7.0148,0.47181,0.02603,0.51109,0.02982,0.52843,0.48848
7.2566,0.46021,0.02614,0.50044,0.03016,0.54002,0.49912
7.4985,0.44915,0.02639,0.48937,0.03077,0.55104,0.51018
7.7404,0.43874,0.02667,0.47968,0.03132,0.56143,0.51987
7.9823,0.42911,0.02699,0.47113,0.03169,0.57104,0.52841
8.2242,0.42024,0.02725,0.46183,0.03204,0.57989,0.53767
8.4661,0.41177,0.02744,0.45265,0.03238,0.58837,0.54682
8.7080,0.40246,0.02756,0.44443,0.03261,0.59767,0.55504
8.9499,0.39189,0.02762,0.43688,0.03272,0.60825,0.56260
9.1917,0.38232,0.02768,0.42973,0.03280,0.61782,0.56976
9.4336,0.37411,0.02771,0.42279,0.03284,0.62602,0.57671
9.6755,0.36607,0.02764,0.41516,0.03270,0.63405,0.58433
9.9174,0.35800,0.02748,0.40744,0.03256,0.64210,0.59204
10.1593,0.35007,0.02727,0.39733,0.03210,0.65004,0.60215
10.4012,0.34204,0.02708,0.38697,0.03180,0.65808,0.61252
10.6431,0.33499,0.02704,0.37826,0.03176,0.66511,0.62122
10.8850,0.32894,0.02700,0.37139,0.03178,0.67116,0.62811
11.1268,0.32289,0.02685,0.36466,0.03173,0.67721,0.63484
11.3687,0.31672,0.02662,0.35737,0.03156,0.68337,0.64212
11.6106,0.30990,0.02635,0.34997,0.03125,0.69018,0.64952
11.8525,0.30243,0.02607,0.34278,0.03091,0.69763,0.65670
12.0944,0.29513,0.02583,0.33615,0.03065,0.70493,0.66332
12.3363,0.28796,0.02563,0.33010,0.03043,0.71210,0.66936
12.5782,0.28122,0.02548,0.32460,0.03028,0.71883,0.67484
12.8201,0.27419,0.02528,0.31881,0.03010,0.72582,0.68061
13.0620,0.26638,0.02502,0.31141,0.02992,0.73360,0.68799
13.3038,0.25893,0.02480,0.30320,0.02980,0.74103,0.69619
13.5457,0.25233,0.02463,0.29462,0.02968,0.74762,0.70477
13.7876,0.24515,0.02448,0.28598,0.02927,0.75479,0.71338
14.0295,0.23824,0.02425,0.27673,0.02862,0.76168,0.72263
14.2714,0.23233,0.02401,0.26870,0.02808,0.76758,0.73067
14.5133,0.22833,0.02380,0.26170,0.02772,0.77157,0.73767
14.7552,0.22640,0.02365,0.25599,0.02740,0.77349,0.74337
14.9971,0.22569,0.02349,0.25036,0.02706,0.77417,0.74897
15.2389,0.22743,0.02353,0.24414,0.02676,0.77240,0.75518
15.4808,0.23023,0.02399,0.23827,0.02660,0.76961,0.76107
15.7227,0.23142,0.02437,0.23381,0.02647,0.76840,0.76552
15.9646,0.23118,0.02477,0.23381,0.02623,0.76867,0.76552
16.2065,0.23408,0.02489,0.23543,0.02658,0.76577,0.76389
16.4484,0.23886,0.02509,0.23251,0.02671,0.76096,0.76679
16.6903,0.24277,0.02545,0.22990,0.02657,0.75706,0.76941
16.9322,0.24624,0.02569,0.22671,0.02642,0.75357,0.77260
17.1740,0.25299,0.02583,0.22402,0.02630,0.74681,0.77528
17.4159,0.26176,0.02611,0.22045,0.02619,0.73804,0.77886
17.6578,0.26960,0.02633,0.21599,0.02597,0.73021,0.78331
17.8997,0.27741,0.02634,0.21145,0.02563,0.72241,0.78786
18.1416,0.28494,0.02623,0.20805,0.02521,0.71486,0.79128
18.3835,0.29145,0.02618,0.20545,0.02488,0.70833,0.79387
18.6254,0.29684,0.02618,0.20306,0.02469,0.70295,0.79628
18.8673,0.30120,0.02624,0.20039,0.02453,0.69860,0.79895
19.1092,0.30438,0.02636,0.19728,0.02441,0.69539,0.80207
19.3510,0.30664,0.02643,0.19409,0.02430,0.69311,0.80526
19.5929,0.30842,0.02639,0.19177,0.02415,0.69135,0.80760
19.8348,0.31097,0.02623,0.18955,0.02380,0.68891,0.80990
20.0767,0.31122,0.02605,0.18611,0.02302,0.68871,0.81323
20.3186,0.31230,0.02585,0.17610,0.02214,0.68762,0.82333
20.5605,0.31267,0.02581,0.17096,0.02176,0.68724,0.82848
20.8024,0.31182,0.02572,0.16803,0.02130,0.68809,0.83144
21.0443,0.30746,0.02541,0.16661,0.02091,0.69244,0.83283
21.2861,0.30015,0.02491,0.16537,0.02060,0.69976,0.83405
21.5280,0.29431,0.02442,0.16385,0.02030,0.70558,0.83551
21.7699,0.28598,0.02367,0.16182,0.01990,0.71389,0.83764
22.0118,0.27570,0.02271,0.15921,0.01954,0.72417,0.84023
22.2537,0.26886,0.02214,0.15720,0.01919,0.73104,0.84222
22.4956,0.26325,0.02168,0.15528,0.01888,0.73673,0.84416
22.7375,0.25727,0.02123,0.15227,0.01852,0.74283,0.84717
22.9794,0.25195,0.02072,0.14902,0.01812,0.74812,0.85044
23.2212,0.24578,0.02005,0.14648,0.01778,0.75428,0.85299
23.4631,0.23852,0.01927,0.14437,0.01759,0.76150,0.85505
23.7050,0.23270,0.01881,0.14254,0.01743,0.76727,0.85688
23.9469,0.22862,0.01850,0.14065,0.01730,0.77134,0.85876
24.1888,0.22363,0.01826,0.13864,0.01719,0.77629,0.86077
24.4307,0.21883,0.01803,0.13654,0.01708,0.78109,0.86288
24.6726,0.21465,0.01780,0.13498,0.01693,0.78528,0.86442
24.9145,0.21254,0.01766,0.13382,0.01680,0.78742,0.86559
25.1564,0.21119,0.01757,0.13369,0.01676,0.78877,0.86573
25.3982,0.20894,0.01742,0.13420,0.01694,0.79103,0.86527
25.6401,0.20611,0.01714,0.13527,0.01721,0.79386,0.86409
25.8820,0.20267,0.01688,0.13539,0.01744,0.79731,0.86359
26.1239,0.19980,0.01674,0.13421,0.01764,0.80017,0.86543
26.3658,0.19923,0.01663,0.13272,0.01777,0.80073,0.86672
26.6077,0.19886,0.01659,0.13140,0.01780,0.80107,0.86803
26.8496,0.19784,0.01657,0.13157,0.01777,0.80205,0.86786
27.0915,0.19664,0.01650,0.13268,0.01774,0.80326,0.86674
27.3333,0.19616,0.01637,0.13337,0.01773,0.80366,0.86610
27.5752,0.19612,0.01625,0.13360,0.01772,0.80401,0.86567
27.8171,0.19568,0.01612,0.13324,0.01777,0.80451,0.86591
28.0590,0.19493,0.01598,0.13250,0.01783,0.80525,0.86664
28.3009,0.19326,0.01587,0.13169,0.01775,0.80691,0.86745
28.5428,0.19041,0.01568,0.13067,0.01759,0.80973,0.86849
28.7847,0.18709,0.01543,0.12931,0.01747,0.81304,0.86987
29.0266,0.18453,0.01522,0.12759,0.01739,0.81559,0.87159
29.2684,0.18218,0.01508,0.12603,0.01735,0.81795,0.87314
29.5103,0.17981,0.01506,0.12492,0.01731,0.82033,0.87426
29.7522,0.17752,0.01516,0.12434,0.01727,0.82262,0.87480
29.9941,0.17488,0.01532,0.12382,0.01723,0.82525,0.87532
30.2360,0.17222,0.01539,0.12265,0.01713,0.82793,0.87648
30.4779,0.16980,0.01529,0.11980,0.01690,0.83035,0.87931
30.7198,0.16772,0.01514,0.11663,0.01679,0.83241,0.88248
30.9617,0.16626,0.01496,0.11436,0.01667,0.83382,0.88477
31.2036,0.16472,0.01471,0.11255,0.01653,0.83533,0.88655
31.4454,0.16285,0.01453,0.11136,0.01647,0.83716,0.88777
31.6873,0.15983,0.01444,0.11059,0.01645,0.84023,0.88847
31.9292,0.15677,0.01436,0.11073,0.01641,0.84327,0.88829
32.1711,0.15388,0.01427,0.11126,0.01636,0.84615,0.88777
32.4130,0.15185,0.01415,0.11142,0.01634,0.84818,0.88762
32.6549,0.14995,0.01407,0.11141,0.01634,0.85011,0.88760
32.8968,0.14855,0.01397,0.11073,0.01632,0.85147,0.88828
33.1387,0.14779,0.01393,0.10948,0.01619,0.85222,0.88952
33.3805,0.14986,0.01417,0.10787,0.01610,0.85015,0.89106
33.6224,0.15150,0.01448,0.10637,0.01605,0.84849,0.89254
33.8643,0.15169,0.01468,0.10530,0.01600,0.84832,0.89365
34.1062,0.15098,0.01467,0.10458,0.01597,0.84904,0.89435
34.3481,0.15010,0.01457,0.10445,0.01595,0.84992,0.89456
34.5900,0.15019,0.01445,0.10488,0.01594,0.84983,0.89431
34.8319,0.15243,0.01452,0.10559,0.01589,0.84756,0.89340
35.0738,0.15402,0.01471,0.10591,0.01584,0.84596,0.89307
35.3156,0.15498,0.01481,0.10551,0.01580,0.84496,0.89346
35.5575,0.15661,0.01483,0.10489,0.01571,0.84332,0.89405
35.7994,0.15960,0.01486,0.10414,0.01552,0.84034,0.89480
36.0413,0.16167,0.01483,0.10296,0.01519,0.83825,0.89597
36.2832,0.16289,0.01476,0.10187,0.01483,0.83699,0.89717
36.5251,0.16384,0.01470,0.10130,0.01458,0.83609,0.89760
36.7670,0.16408,0.01469,0.10109,0.01434,0.83584,0.89778
37.0089,0.16266,0.01462,0.10140,0.01415,0.83726,0.89736
37.2508,0.16167,0.01452,0.10062,0.01402,0.83826,0.89819
37.4926,0.16195,0.01443,0.09918,0.01395,0.83799,0.89967
37.7345,0.16355,0.01427,0.09856,0.01388,0.83636,0.90028
37.9764,0.16845,0.01429,0.09876,0.01384,0.83146,0.90010
38.2183,0.16921,0.01390,0.09974,0.01383,0.83068,0.89897
38.4602,0.17183,0.01388,0.10049,0.01385,0.82804,0.89848
38.7021,0.17325,0.01382,0.10107,0.01388,0.82665,0.89789
38.9440,0.17403,0.01379,0.10132,0.01392,0.82589,0.89760
39.1859,0.17470,0.01377,0.10148,0.01394,0.82519,0.89740
39.4277,0.17447,0.01378,0.10145,0.01400,0.82535,0.89740
39.6696,0.17410,0.01364,0.10095,0.01405,0.82570,0.89796
39.9115,0.17378,0.01343,0.10130,0.01410,0.82602,0.89762
