n_spawns,bump,ic_index
16,0.04462,1
20,0.01559,3
15,0.01411,4
11,0.01779,5
22,0.15521,15
14,0.00993,18
15,0.03741,19
11,-0.03228,20
24,0.08338,24
21,0.07973,26
19,-0.00691,28
16,-0.00477,32
6,0.00000,33
10,0.02363,35
6,0.00119,36
12,-0.01709,38
5,0.01726,39
3,0.25454,41
19,0.07509,43
17,0.10292,44
14,0.24270,49
12,-0.05739,50
3,0.01078,51
15,0.01113,53
5,-0.01701,54
7,0.00633,55
21,0.29808,57
9,-0.01415,59
22,0.17526,67
18,0.51632,68
18,0.13148,74
4,0.01996,79
9,0.02189,81
10,0.00242,83
6,-0.07773,84
3,-0.05759,87
2,-0.04866,89
14,0.09992,94
8,-0.00613,97
8,-0.00128,99
10,0.01225,100
23,0.72021,104
18,0.10694,111
10,-0.01618,114
18,0.22252,117
12,0.01462,119
27,0.34479,122
15,0.02119,123
22,0.06373,127
11,0.08299,129
17,0.72747,135
17,0.02417,136
16,0.02041,137
26,0.06567,142
6,0.00000,143
7,-0.01013,146
15,0.01020,148
6,-0.11142,149
9,-0.03281,150
15,-0.00800,151
7,-0.00402,152
7,-0.00504,154
7,-0.18316,155
11,-0.11261,158
10,-0.00989,161
5,0.00879,164
18,0.01194,165
19,0.06060,166
24,0.17126,169
3,-0.15720,170
17,0.47474,171
17,0.14251,172
1,-0.00000,174
6,-0.12615,175
7,-0.06442,176
4,-0.07028,188
11,-0.00986,193
9,0.00091,195
15,0.00464,199
15,-0.00007,201
13,-0.00954,206
15,-0.02686,207
17,0.18178,208
11,-0.03978,209
11,-0.07383,210
13,-0.11547,211
17,-0.10262,213
14,-0.03634,215
11,0.05568,216
11,-0.06474,221
4,-0.06194,224
15,0.01250,225
5,-0.02046,229
12,-0.01137,230
8,-0.01670,231
4,-0.06177,233
15,0.09834,237
13,0.10556,238
13,-0.01821,244
14,-0.01654,246
18,0.25293,247
9,0.04399,254
6,-0.03743,255
15,0.30574,256
6,-0.02683,259
12,0.14286,264
14,-0.01060,268
13,0.16744,277
9,-0.04683,280
0,0.00000,281
4,-0.03109,284
8,-0.03492,286
8,0.08088,287
12,-0.03425,293
