n_spawns,bump,ic_index
28,0.01394,3
16,0.05938,5
19,0.25322,6
17,-0.00342,18
18,0.02487,19
22,0.41241,20
15,-0.07296,23
32,0.08758,27
17,0.01892,28
28,0.27355,32
5,0.00000,33
6,-0.04051,36
21,-0.02533,37
16,0.21523,38
5,-0.02312,39
6,-0.05386,41
22,0.60924,44
10,0.13400,47
15,-0.00725,49
3,-0.01039,51
14,-0.05877,52
14,0.10821,53
6,0.05657,54
8,-0.02475,55
23,0.56635,57
25,0.11474,67
22,0.52705,68
23,0.73670,70
10,0.84086,79
13,0.14925,80
13,-0.00573,82
15,0.04499,83
6,0.00572,84
10,0.29328,85
9,0.26103,87
4,0.00000,88
5,-0.01921,89
23,0.68863,90
21,0.13306,91
19,0.13651,94
9,0.00829,97
11,-0.29561,100
28,0.71891,108
27,0.93208,109
18,0.01627,111
10,-0.02534,114
17,-0.00433,115
16,0.08940,123
25,0.07004,127
19,-0.08748,129
20,0.85383,130
28,0.92729,131
20,0.01754,136
13,0.00348,137
36,0.82236,140
6,0.00000,143
19,0.04087,144
20,0.42975,146
25,0.61352,147
22,0.01582,148
14,0.36435,149
7,0.00767,151
7,-0.00367,152
15,0.11719,154
10,-0.17188,155
21,0.53223,156
12,-0.11571,158
24,0.58749,160
12,0.60395,161
15,0.12622,163
19,0.03678,166
19,0.39792,167
14,0.44827,168
3,-0.05892,170
18,0.68984,171
1,0.00000,174
26,0.43574,179
19,-0.09136,181
23,0.37872,186
4,-0.03620,188
18,-0.00044,194
10,-0.01538,195
17,-0.00589,201
20,0.31130,205
20,0.12279,207
19,0.17709,208
12,-0.09338,213
32,0.52071,215
16,0.01662,216
19,0.04718,221
16,0.61676,223
9,-0.06655,224
18,0.12266,225
15,0.71396,227
5,-0.01410,229
8,-0.00770,230
8,-0.06092,231
11,-0.16273,232
6,-0.01724,233
19,0.25757,237
18,0.46948,238
7,0.07671,239
26,0.73144,240
27,0.44936,243
19,0.68253,254
16,0.62260,256
17,0.01770,258
6,-0.00994,259
31,0.55939,269
26,-0.05133,271
26,0.29780,272
0,0.00000,281
15,0.45751,282
9,0.38531,283
15,0.29494,284
14,-0.10745,285
13,0.03339,286
23,0.81436,287
9,-0.01553,288
17,0.54976,292
11,0.12711,293
14,-0.05083,295
