t_fs,Q1_mean,Q1_sem,Q2_mean,Q2_sem,Q3_mean,Q3_sem,Q4_mean,Q4_sem,Q5_mean,Q5_sem
0.0000,1.00000,0.00000,1.00000,0.00000,1.00000,0.00000,1.00000,0.00000,1.00000,0.00000
0.2419,0.99901,0.00097,1.00000,0.00000,0.99967,0.00033,0.99863,0.00134,0.99946,0.00052
0.4838,0.99760,0.00235,0.99973,0.00026,0.99819,0.00104,0.99727,0.00267,0.99858,0.00139
0.7257,0.99675,0.00318,0.99804,0.00150,0.99494,0.00257,0.99658,0.00334,0.98961,0.00700
0.9676,0.99624,0.00368,0.99333,0.00466,0.98959,0.00495,0.99536,0.00370,0.97337,0.01847
1.2094,0.99531,0.00412,0.98580,0.00968,0.97955,0.00931,0.99086,0.00486,0.96011,0.02463
1.4513,0.99324,0.00490,0.97782,0.01470,0.96131,0.01570,0.98042,0.00918,0.94646,0.02851
1.6932,0.98999,0.00646,0.96883,0.01828,0.93724,0.02365,0.96482,0.01558,0.91955,0.03210
1.9351,0.98474,0.00836,0.95594,0.02147,0.91030,0.02991,0.94143,0.02242,0.82692,0.06044
2.1770,0.97270,0.01082,0.93971,0.02498,0.87500,0.03677,0.91249,0.03040,0.78712,0.06563
2.4189,0.94224,0.02304,0.92133,0.02929,0.83782,0.04294,0.88097,0.03520,0.73427,0.06718
2.6608,0.91105,0.03400,0.90108,0.03423,0.80328,0.04719,0.84652,0.04208,0.66551,0.06899
2.9027,0.88255,0.03948,0.87762,0.03862,0.76868,0.04966,0.82317,0.04722,0.60335,0.06978
3.1445,0.85643,0.04348,0.84989,0.04239,0.73658,0.05212,0.80722,0.04972,0.55238,0.06964
3.3864,0.83530,0.04637,0.82042,0.04486,0.69866,0.05410,0.79276,0.05064,0.50494,0.06634
3.6283,0.81908,0.04828,0.79004,0.04633,0.67319,0.05709,0.77321,0.05027,0.44333,0.06412
3.8702,0.80600,0.04938,0.76136,0.04794,0.65691,0.05776,0.74503,0.04981,0.39965,0.05944
