t_fs,Q1_mean,Q1_sem,Q2_mean,Q2_sem,Q3_mean,Q3_sem,Q4_mean,Q4_sem,Q5_mean,Q5_sem
0.0000,1.00000,0.00000,1.00000,0.00000,1.00000,0.00000,1.00000,0.00000,1.00000,0.00000
0.2419,0.99937,0.00062,0.99905,0.00093,1.00000,0.00000,1.00000,0.00000,1.00000,0.00000
0.4838,0.99803,0.00162,0.99755,0.00208,1.00000,0.00000,1.00000,0.00000,1.00000,0.00000
0.7257,0.99645,0.00251,0.99592,0.00295,0.99864,0.00080,1.00000,0.00000,1.00000,0.00000
0.9676,0.99475,0.00358,0.99412,0.00398,0.99300,0.00364,1.00000,0.00000,0.99960,0.00039
1.2094,0.99282,0.00497,0.99169,0.00523,0.97949,0.01009,0.99920,0.00056,0.99512,0.00223
1.4513,0.99067,0.00659,0.98761,0.00690,0.95871,0.01934,0.99377,0.00352,0.96418,0.01531
1.6932,0.98779,0.00832,0.98120,0.00996,0.93665,0.02653,0.97258,0.01615,0.90529,0.04265
1.9351,0.98286,0.01012,0.97255,0.01382,0.91456,0.03163,0.94270,0.03122,0.87025,0.05185
2.1770,0.97535,0.01224,0.95871,0.01761,0.89100,0.03601,0.91535,0.03921,0.83195,0.05549
2.4189,0.96489,0.01490,0.93089,0.02731,0.85951,0.04057,0.88302,0.04486,0.78044,0.05979
2.6608,0.95104,0.01830,0.90536,0.03753,0.82193,0.04711,0.84529,0.05074,0.73113,0.06525
2.9027,0.93508,0.02187,0.88691,0.04219,0.79167,0.05237,0.81231,0.05600,0.66578,0.06441
3.1445,0.91816,0.02504,0.86749,0.04452,0.76397,0.05438,0.78539,0.05991,0.53596,0.06839
3.3864,0.90103,0.02781,0.84310,0.04607,0.71949,0.05449,0.76219,0.06225,0.47088,0.06058
3.6283,0.88480,0.03018,0.81188,0.04712,0.67597,0.05647,0.73564,0.06274,0.39878,0.05547
3.8702,0.86926,0.03223,0.77543,0.04808,0.64189,0.05695,0.70174,0.06295,0.34743,0.05341
4.1121,0.85333,0.03393,0.73829,0.04904,0.61063,0.05679,0.66468,0.06360,0.32050,0.05028
