t_fs,S2_vel_mean,S2_vel_sem,S2_coup_mean,S2_coup_sem,S1_vel_mean,S1_coup_mean
0.0000,1.00000,0.00000,1.00000,0.00000,0.00000,0.00000
0.2419,0.99966,0.00024,0.99897,0.00062,0.00034,0.00103
0.4838,0.99903,0.00059,0.99737,0.00138,0.00097,0.00263
0.7257,0.99800,0.00089,0.99525,0.00198,0.00200,0.00475
0.9676,0.99591,0.00148,0.99201,0.00293,0.00409,0.00799
1.2094,0.99131,0.00293,0.98640,0.00452,0.00869,0.01360
1.4513,0.98111,0.00556,0.97708,0.00676,0.01889,0.02292
1.6932,0.96333,0.01014,0.96288,0.00963,0.03667,0.03712
1.9351,0.94564,0.01351,0.92647,0.02016,0.05436,0.07315
2.1770,0.92708,0.01562,0.90035,0.02298,0.07292,0.09925
2.4189,0.90247,0.01774,0.86563,0.02619,0.09753,0.13396
2.6608,0.87438,0.02024,0.82883,0.02993,0.12562,0.17074
2.9027,0.84570,0.02220,0.79360,0.03244,0.15429,0.20597
3.1445,0.81046,0.02460,0.76119,0.03441,0.18991,0.23837
3.3864,0.77614,0.02504,0.72644,0.03535,0.22420,0.27311
3.6283,0.73751,0.02639,0.69285,0.03597,0.26283,0.30668
3.8702,0.70327,0.02745,0.66007,0.03583,0.29705,0.33945
4.1121,0.67406,0.02780,0.62989,0.03605,0.32626,0.36963
4.3540,0.65045,0.02797,0.60895,0.03663,0.34987,0.39056
4.5959,0.63058,0.02822,0.59502,0.03695,0.36974,0.40448
4.8378,0.61393,0.02828,0.58446,0.03705,0.38639,0.41504
5.0796,0.59977,0.02807,0.57323,0.03686,0.40055,0.42626
5.3215,0.58424,0.02745,0.55942,0.03654,0.41608,0.44006
5.5634,0.56909,0.02693,0.54595,0.03642,0.43124,0.45352
5.8053,0.55533,0.02659,0.53285,0.03613,0.44498,0.46660
6.0472,0.54271,0.02636,0.52148,0.03609,0.45758,0.47795
6.2891,0.53119,0.02639,0.51051,0.03621,0.46910,0.48891
6.5310,0.51866,0.02666,0.49827,0.03612,0.48162,0.50112
6.7729,0.50586,0.02686,0.48469,0.03573,0.49443,0.51469
7.0148,0.49359,0.02696,0.47124,0.03561,0.50669,0.52812
7.2566,0.48208,0.02714,0.45915,0.03591,0.51818,0.54020
7.4985,0.47104,0.02747,0.44648,0.03662,0.52919,0.55287
7.7404,0.46099,0.02782,0.43607,0.03722,0.53921,0.56328
7.9823,0.45215,0.02814,0.42675,0.03759,0.54804,0.57258
8.2242,0.44400,0.02841,0.41719,0.03793,0.55618,0.58209
8.4661,0.43631,0.02859,0.40801,0.03835,0.56386,0.59123
8.7080,0.42746,0.02872,0.39953,0.03866,0.57271,0.59971
8.9499,0.41685,0.02881,0.39108,0.03877,0.58331,0.60815
9.1917,0.40700,0.02891,0.38267,0.03877,0.59317,0.61658
9.4336,0.39841,0.02898,0.37512,0.03875,0.60174,0.62415
9.6755,0.38985,0.02895,0.36817,0.03858,0.61029,0.63110
9.9174,0.38122,0.02883,0.36048,0.03817,0.61890,0.63877
10.1593,0.37260,0.02864,0.35166,0.03756,0.62753,0.64759
10.4012,0.36411,0.02849,0.34177,0.03708,0.63604,0.65747
10.6431,0.35680,0.02847,0.33304,0.03692,0.64334,0.66619
10.8850,0.35063,0.02845,0.32615,0.03683,0.64949,0.67311
11.1268,0.34450,0.02830,0.32005,0.03665,0.65563,0.67922
11.3687,0.33818,0.02807,0.31441,0.03645,0.66195,0.68485
11.6106,0.33108,0.02780,0.30939,0.03621,0.66903,0.68989
11.8525,0.32327,0.02751,0.30433,0.03590,0.67682,0.69494
12.0944,0.31570,0.02727,0.29851,0.03553,0.68438,0.70075
12.3363,0.30834,0.02707,0.29203,0.03507,0.69174,0.70722
12.5782,0.30144,0.02691,0.28553,0.03466,0.69864,0.71368
12.8201,0.29435,0.02670,0.27807,0.03412,0.70571,0.72110
13.0620,0.28636,0.02642,0.26828,0.03362,0.71366,0.73087
13.3038,0.27855,0.02620,0.25917,0.03342,0.72146,0.73998
13.5457,0.27149,0.02605,0.25083,0.03337,0.72851,0.74832
13.7876,0.26355,0.02595,0.24314,0.03305,0.73643,0.75595
14.0295,0.25566,0.02575,0.23486,0.03250,0.74431,0.76424
14.2714,0.24860,0.02553,0.22783,0.03205,0.75135,0.77129
14.5133,0.24323,0.02534,0.22153,0.03176,0.75672,0.77761
14.7552,0.23931,0.02524,0.21643,0.03148,0.76063,0.78271
14.9971,0.23464,0.02515,0.21169,0.03118,0.76528,0.78740
15.2389,0.23059,0.02495,0.20669,0.03094,0.76929,0.79239
15.4808,0.22862,0.02522,0.20182,0.03086,0.77126,0.79727
15.7227,0.22472,0.02529,0.19875,0.03074,0.77515,0.80032
15.9646,0.22236,0.02524,0.20280,0.03042,0.77751,0.79628
16.2065,0.22325,0.02515,0.20937,0.03133,0.77662,0.78970
16.4484,0.22700,0.02524,0.20869,0.03174,0.77285,0.79034
16.6903,0.23037,0.02557,0.20890,0.03170,0.76947,0.79015
16.9322,0.23333,0.02581,0.20866,0.03170,0.76650,0.79039
17.1740,0.23893,0.02599,0.20836,0.03169,0.76089,0.79068
17.4159,0.24600,0.02623,0.20646,0.03169,0.75382,0.79260
17.6578,0.25318,0.02638,0.20408,0.03152,0.74664,0.79498
17.8997,0.26113,0.02637,0.20203,0.03101,0.73870,0.79703
18.1416,0.26904,0.02625,0.19977,0.03025,0.73077,0.79932
18.3835,0.27573,0.02623,0.19769,0.02968,0.72407,0.80138
18.6254,0.28109,0.02627,0.19598,0.02943,0.71872,0.80308
18.8673,0.28537,0.02639,0.19423,0.02933,0.71445,0.80485
19.1092,0.28852,0.02656,0.19231,0.02929,0.71128,0.80678
19.3510,0.29071,0.02674,0.19039,0.02925,0.70907,0.80872
19.5929,0.29253,0.02683,0.18952,0.02904,0.70728,0.80968
19.8348,0.29527,0.02674,0.18800,0.02842,0.70467,0.81128
20.0767,0.29568,0.02659,0.18390,0.02684,0.70431,0.81522
20.3186,0.29716,0.02644,0.16911,0.02492,0.70282,0.83014
20.5605,0.29792,0.02647,0.16203,0.02412,0.70205,0.83722
20.8024,0.29689,0.02650,0.15848,0.02318,0.70307,0.84081
21.0443,0.29443,0.02645,0.15714,0.02240,0.70551,0.84212
21.2861,0.29100,0.02620,0.15593,0.02181,0.70894,0.84329
21.5280,0.28716,0.02582,0.15382,0.02124,0.71277,0.84530
21.7699,0.28091,0.02511,0.15073,0.02061,0.71899,0.84851
22.0118,0.27101,0.02406,0.14745,0.02033,0.72888,0.85175
22.2537,0.26412,0.02345,0.14546,0.02018,0.73581,0.85372
